"Class","Spec","PvP.Talent","Spec.Class","Char.Name"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","wnx"
"Shaman","Restoration","Living Tide","Restoration.Shaman","wnx"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","wnx"
"Priest","Holy","Miracle Worker","Holy.Priest","ksys"
"Priest","Holy","Greater Fade","Holy.Priest","ksys"
"Priest","Holy","Ray of Hope","Holy.Priest","ksys"
"Monk","Windwalker","Turbo Fists","Windwalker.Monk","innerverse"
"Monk","Windwalker","Reverse Harm","Windwalker.Monk","innerverse"
"Monk","Windwalker","Alpha Tiger","Windwalker.Monk","innerverse"
"Priest","Holy","Ray of Hope","Holy.Priest","birdbrain"
"Priest","Holy","Miracle Worker","Holy.Priest","birdbrain"
"Priest","Holy","Greater Fade","Holy.Priest","birdbrain"
"Monk","Windwalker","Turbo Fists","Windwalker.Monk","senseiww"
"Monk","Windwalker","Alpha Tiger","Windwalker.Monk","senseiww"
"Monk","Windwalker","Reverse Harm","Windwalker.Monk","senseiww"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","bluejewlive"
"Druid","Restoration","Reactive Resin","Restoration.Druid","bluejewlive"
"Druid","Restoration","Thorns","Restoration.Druid","bluejewlive"
"Death Knight","Frost","Dead of Winter","Frost.Death Knight","degdk"
"Death Knight","Frost","Death's Echo","Frost.Death Knight","degdk"
"Death Knight","Frost","Strangulate","Frost.Death Knight","degdk"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","kayern"
"Priest","Discipline","Dome of Light","Discipline.Priest","kayern"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","kayern"
"Rogue","Assassination","Smoke Bomb","Assassination.Rogue","lesty"
"Rogue","Assassination","Dismantle","Assassination.Rogue","lesty"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","lesty"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","mgxo"
"Priest","Discipline","Dome of Light","Discipline.Priest","mgxo"
"Priest","Discipline","Dark Archangel","Discipline.Priest","mgxo"
"Priest","Holy","Miracle Worker","Holy.Priest","drxonevnine"
"Priest","Holy","Greater Fade","Holy.Priest","drxonevnine"
"Priest","Holy","Divine Ascension","Holy.Priest","drxonevnine"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","pacee"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","pacee"
"Rogue","Subtlety","Maneuverability","Subtlety.Rogue","pacee"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","gatorwaves"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","gatorwaves"
"Shaman","Restoration","Living Tide","Restoration.Shaman","gatorwaves"
"Priest","Holy","Miracle Worker","Holy.Priest","neverbeen"
"Priest","Holy","Holy Ward","Holy.Priest","neverbeen"
"Priest","Holy","Greater Fade","Holy.Priest","neverbeen"
"Warlock","Demonology","Call Felhunter","Demonology.Warlock","demonicxs"
"Warlock","Demonology","Fel Obelisk","Demonology.Warlock","demonicxs"
"Warlock","Demonology","Master Summoner","Demonology.Warlock","demonicxs"
"Druid","Feral","Wicked Claws","Feral.Druid","claws"
"Druid","Feral","Leader of the Pack","Feral.Druid","claws"
"Druid","Feral","Strength of the Wild","Feral.Druid","claws"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","majikx"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","majikx"
"Priest","Discipline","Dome of Light","Discipline.Priest","majikx"
"Warlock","Demonology","Call Felhunter","Demonology.Warlock","rumpology"
"Warlock","Demonology","Fel Obelisk","Demonology.Warlock","rumpology"
"Warlock","Demonology","Master Summoner","Demonology.Warlock","rumpology"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","dehsaw"
"Shaman","Restoration","Living Tide","Restoration.Shaman","dehsaw"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","dehsaw"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","hickery"
"Rogue","Assassination","Dismantle","Assassination.Rogue","hickery"
