"Var1","Freq","spec","class"
"Affliction.Warlock",257,"Affliction","Warlock"
"Arcane.Mage",8,"Arcane","Mage"
"Arms.Warrior",46,"Arms","Warrior"
"Assassination.Rogue",118,"Assassination","Rogue"
"Balance.Druid",355,"Balance","Druid"
"Beast Mastery.Hunter",15,"Beast Mastery","Hunter"
"Blood.Death Knight",6,"Blood","Death Knight"
"Brewmaster.Monk",4,"Brewmaster","Monk"
"Demonology.Warlock",60,"Demonology","Warlock"
"Destruction.Warlock",56,"Destruction","Warlock"
"Discipline.Priest",423,"Discipline","Priest"
"Elemental.Shaman",88,"Elemental","Shaman"
"Enhancement.Shaman",17,"Enhancement","Shaman"
"Feral.Druid",54,"Feral","Druid"
"Fire.Mage",28,"Fire","Mage"
"Frost.Death Knight",100,"Frost","Death Knight"
"Frost.Mage",49,"Frost","Mage"
"Fury.Warrior",214,"Fury","Warrior"
"Guardian.Druid",200,"Guardian","Druid"
"Havoc.Demon Hunter",209,"Havoc","Demon Hunter"
"Holy.Paladin",137,"Holy","Paladin"
"Holy.Priest",207,"Holy","Priest"
"Marksmanship.Hunter",165,"Marksmanship","Hunter"
"Mistweaver.Monk",199,"Mistweaver","Monk"
"Outlaw.Rogue",30,"Outlaw","Rogue"
"Protection.Paladin",11,"Protection","Paladin"
"Protection.Warrior",6,"Protection","Warrior"
"Restoration.Druid",144,"Restoration","Druid"
"Restoration.Shaman",62,"Restoration","Shaman"
"Retribution.Paladin",245,"Retribution","Paladin"
"Shadow.Priest",77,"Shadow","Priest"
"Subtlety.Rogue",230,"Subtlety","Rogue"
"Survival.Hunter",34,"Survival","Hunter"
"Unholy.Death Knight",117,"Unholy","Death Knight"
"Vengeance.Demon Hunter",9,"Vengeance","Demon Hunter"
"Windwalker.Monk",45,"Windwalker","Monk"
