"Class","Spec","PvP.Talent","Spec.Class","Char.Name"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","dno"
"Druid","Restoration","Reactive Resin","Restoration.Druid","dno"
"Druid","Restoration","High Winds","Restoration.Druid","dno"
"Hunter","Survival","Chimaeral Sting","Survival.Hunter","bonquiqui"
"Hunter","Survival","Roar of Sacrifice","Survival.Hunter","bonquiqui"
"Hunter","Survival","Survival Tactics","Survival.Hunter","bonquiqui"
"Priest","Discipline","Blaze of Light","Discipline.Priest","pxdx"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","pxdx"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","pxdx"
"Rogue","Assassination","Dismantle","Assassination.Rogue","sadiator"
"Rogue","Assassination","Smoke Bomb","Assassination.Rogue","sadiator"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","sadiator"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","kalvishx"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","kalvishx"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","kalvishx"
"Hunter","Survival","Roar of Sacrifice","Survival.Hunter","dillon"
"Hunter","Survival","Survival Tactics","Survival.Hunter","dillon"
"Hunter","Survival","Chimaeral Sting","Survival.Hunter","dillon"
"Druid","Feral","Ferocious Wound","Feral.Druid","wodferalz"
"Druid","Feral","Thorns","Feral.Druid","wodferalz"
"Druid","Feral","Strength of the Wild","Feral.Druid","wodferalz"
"Druid","Feral","Thorns","Feral.Druid","feralgenius"
"Druid","Feral","Strength of the Wild","Feral.Druid","feralgenius"
"Druid","Feral","Leader of the Pack","Feral.Druid","feralgenius"
"Hunter","Survival","Roar of Sacrifice","Survival.Hunter","bicmex"
"Hunter","Survival","Survival Tactics","Survival.Hunter","bicmex"
"Hunter","Survival","Chimaeral Sting","Survival.Hunter","bicmex"
"Druid","Feral","Strength of the Wild","Feral.Druid","fusex"
"Druid","Feral","Thorns","Feral.Druid","fusex"
"Druid","Feral","Ferocious Wound","Feral.Druid","fusex"
"Hunter","Marksmanship","Roar of Sacrifice","Marksmanship.Hunter","ssds"
"Hunter","Marksmanship","Scatter Shot","Marksmanship.Hunter","ssds"
"Hunter","Marksmanship","Survival Tactics","Marksmanship.Hunter","ssds"
"Rogue","Assassination","Smoke Bomb","Assassination.Rogue","nessper"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","nessper"
"Rogue","Assassination","Flying Daggers","Assassination.Rogue","nessper"
"Rogue","Outlaw","Dismantle","Outlaw.Rogue","sevenseconds"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","sevenseconds"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","sevenseconds"
"Warlock","Demonology","Master Summoner","Demonology.Warlock","pd"
"Warlock","Demonology","Call Felhunter","Demonology.Warlock","pd"
"Warlock","Demonology","Fel Obelisk","Demonology.Warlock","pd"
"Druid","Feral","Thorns","Feral.Druid","notinsanity"
"Druid","Feral","Leader of the Pack","Feral.Druid","notinsanity"
"Druid","Feral","Strength of the Wild","Feral.Druid","notinsanity"
"Druid","Feral","Wicked Claws","Feral.Druid","marvin"
"Druid","Feral","Thorns","Feral.Druid","marvin"
"Druid","Feral","Strength of the Wild","Feral.Druid","marvin"
"Druid","Feral","Wicked Claws","Feral.Druid","wodferal"
"Druid","Feral","Leader of the Pack","Feral.Druid","wodferal"
"Druid","Feral","Strength of the Wild","Feral.Druid","wodferal"
"Monk","Windwalker","Alpha Tiger","Windwalker.Monk","zenli"
"Monk","Windwalker","Reverse Harm","Windwalker.Monk","zenli"
"Monk","Windwalker","Turbo Fists","Windwalker.Monk","zenli"
"Priest","Holy","Greater Fade","Holy.Priest","borugg"
"Priest","Holy","Holy Ward","Holy.Priest","borugg"
"Priest","Holy","Miracle Worker","Holy.Priest","borugg"
"Druid","Feral","Wicked Claws","Feral.Druid","axtin"
"Druid","Feral","Leader of the Pack","Feral.Druid","axtin"
"Druid","Feral","Strength of the Wild","Feral.Druid","axtin"
"Priest","Holy","Miracle Worker","Holy.Priest","sollaira"
"Priest","Holy","Greater Fade","Holy.Priest","sollaira"
"Priest","Holy","Ray of Hope","Holy.Priest","sollaira"
"Mage","Fire","Pyrokinesis","Fire.Mage","aeghis"
"Mage","Fire","Ring of Fire","Fire.Mage","aeghis"
"Mage","Fire","Tinder","Fire.Mage","aeghis"
"Demon Hunter","Havoc","Chaotic Imprint","Havoc.Demon Hunter","preblur"
"Demon Hunter","Havoc","Reverse Magic","Havoc.Demon Hunter","preblur"
"Demon Hunter","Havoc","Mortal Dance","Havoc.Demon Hunter","preblur"
"Monk","Mistweaver","Eminence","Mistweaver.Monk","stopflopnrop"
"Monk","Mistweaver","Peaceweaver","Mistweaver.Monk","stopflopnrop"
"Monk","Mistweaver","Chrysalis","Mistweaver.Monk","stopflopnrop"
"Druid","Restoration","Focused Growth","Restoration.Druid","renner"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","renner"
"Druid","Restoration","Reactive Resin","Restoration.Druid","renner"
"Rogue","Subtlety","Thick as Thieves","Subtlety.Rogue","explicit"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","explicit"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","explicit"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","chun"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","chun"
"Rogue","Outlaw","Dismantle","Outlaw.Rogue","chun"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","clownvish"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","clownvish"
"Rogue","Subtlety","Maneuverability","Subtlety.Rogue","clownvish"
"Warlock","Demonology","Call Felhunter","Demonology.Warlock","rbkubzy"
"Warlock","Demonology","Master Summoner","Demonology.Warlock","rbkubzy"
"Warlock","Demonology","Fel Obelisk","Demonology.Warlock","rbkubzy"
"Mage","Fire","Pyrokinesis","Fire.Mage","aegx"
"Mage","Fire","Ring of Fire","Fire.Mage","aegx"
"Mage","Fire","Tinder","Fire.Mage","aegx"
"Hunter","Survival","Survival Tactics","Survival.Hunter","robotwo"
"Hunter","Survival","Chimaeral Sting","Survival.Hunter","robotwo"
"Hunter","Survival","Roar of Sacrifice","Survival.Hunter","robotwo"
"Mage","Fire","Pyrokinesis","Fire.Mage","xaryu"
"Mage","Fire","Tinder","Fire.Mage","xaryu"
"Mage","Fire","Netherwind Armor","Fire.Mage","xaryu"
"Warlock","Demonology","Call Felhunter","Demonology.Warlock","oldasianman"
"Warlock","Demonology","Master Summoner","Demonology.Warlock","oldasianman"
"Warlock","Demonology","Fel Obelisk","Demonology.Warlock","oldasianman"
"Priest","Holy","Ray of Hope","Holy.Priest","bigvuqoffdam"
"Priest","Holy","Miracle Worker","Holy.Priest","bigvuqoffdam"
