"Var1","Freq","spec","class"
"Affliction.Warlock",44,"Affliction","Warlock"
"Arcane.Mage",16,"Arcane","Mage"
"Arms.Warrior",89,"Arms","Warrior"
"Assassination.Rogue",62,"Assassination","Rogue"
"Balance.Druid",91,"Balance","Druid"
"Beast Mastery.Hunter",86,"Beast Mastery","Hunter"
"Blood.Death Knight",6,"Blood","Death Knight"
"Brewmaster.Monk",2,"Brewmaster","Monk"
"Demonology.Warlock",227,"Demonology","Warlock"
"Destruction.Warlock",54,"Destruction","Warlock"
"Discipline.Priest",217,"Discipline","Priest"
"Elemental.Shaman",109,"Elemental","Shaman"
"Enhancement.Shaman",97,"Enhancement","Shaman"
"Feral.Druid",119,"Feral","Druid"
"Fire.Mage",181,"Fire","Mage"
"Frost.Death Knight",27,"Frost","Death Knight"
"Frost.Mage",65,"Frost","Mage"
"Fury.Warrior",331,"Fury","Warrior"
"Guardian.Druid",9,"Guardian","Druid"
"Havoc.Demon Hunter",156,"Havoc","Demon Hunter"
"Holy.Paladin",205,"Holy","Paladin"
"Holy.Priest",433,"Holy","Priest"
"Marksmanship.Hunter",64,"Marksmanship","Hunter"
"Mistweaver.Monk",96,"Mistweaver","Monk"
"Outlaw.Rogue",59,"Outlaw","Rogue"
"Protection.Paladin",21,"Protection","Paladin"
"Restoration.Druid",177,"Restoration","Druid"
"Restoration.Shaman",168,"Restoration","Shaman"
"Retribution.Paladin",258,"Retribution","Paladin"
"Shadow.Priest",165,"Shadow","Priest"
"Subtlety.Rogue",175,"Subtlety","Rogue"
"Survival.Hunter",68,"Survival","Hunter"
"Unholy.Death Knight",230,"Unholy","Death Knight"
"Vengeance.Demon Hunter",2,"Vengeance","Demon Hunter"
"Windwalker.Monk",85,"Windwalker","Monk"
