"Class","Spec","PvP.Talent","Spec.Class","Char.Name"
"Mage","Fire","Pyrokinesis","Fire.Mage","aeghis"
"Mage","Fire","Ring of Fire","Fire.Mage","aeghis"
"Mage","Fire","Tinder","Fire.Mage","aeghis"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","dno"
"Druid","Restoration","Reactive Resin","Restoration.Druid","dno"
"Druid","Restoration","High Winds","Restoration.Druid","dno"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","ichikokoro"
"Priest","Discipline","Trinity","Discipline.Priest","ichikokoro"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","ichikokoro"
"Death Knight","Frost","Dead of Winter","Frost.Death Knight","degdk"
"Death Knight","Frost","Death's Echo","Frost.Death Knight","degdk"
"Death Knight","Frost","Strangulate","Frost.Death Knight","degdk"
"Rogue","Assassination","Flying Daggers","Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","System Shock","Assassination.Rogue","sinepymkcus"
"Mage","Fire","Pyrokinesis","Fire.Mage","hansol"
"Mage","Fire","Flamecannon","Fire.Mage","hansol"
"Mage","Fire","Tinder","Fire.Mage","hansol"
"Druid","Feral","Thorns","Feral.Druid","axtin"
"Druid","Feral","Savage Momentum","Feral.Druid","axtin"
"Druid","Feral","Leader of the Pack","Feral.Druid","axtin"
"Paladin","Retribution","Unbound Freedom","Retribution.Paladin","lvladen"
"Paladin","Retribution","Aura of Reckoning","Retribution.Paladin","lvladen"
"Paladin","Retribution","Law and Order","Retribution.Paladin","lvladen"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","wnx"
"Shaman","Restoration","Living Tide","Restoration.Shaman","wnx"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","wnx"
"Rogue","Assassination","Smoke Bomb","Assassination.Rogue","baldzx"
"Rogue","Assassination","Dismantle","Assassination.Rogue","baldzx"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","baldzx"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","dempy"
"Druid","Restoration","Thorns","Restoration.Druid","dempy"
"Druid","Restoration","Focused Growth","Restoration.Druid","dempy"
"Warrior","Fury","Battle Trance","Fury.Warrior","grimgrip"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","grimgrip"
"Warrior","Fury","Enduring Rage","Fury.Warrior","grimgrip"
"Rogue","Outlaw","Dismantle","Outlaw.Rogue","corbin"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","corbin"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","corbin"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","pacee"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","pacee"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","pacee"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","coalie"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","coalie"
