"Var1","Freq","spec","class"
"Affliction.Warlock",142,"Affliction","Warlock"
"Arcane.Mage",14,"Arcane","Mage"
"Arms.Warrior",68,"Arms","Warrior"
"Assassination.Rogue",179,"Assassination","Rogue"
"Balance.Druid",37,"Balance","Druid"
"Beast Mastery.Hunter",100,"Beast Mastery","Hunter"
"Blood.Death Knight",1,"Blood","Death Knight"
"Brewmaster.Monk",3,"Brewmaster","Monk"
"Demonology.Warlock",133,"Demonology","Warlock"
"Destruction.Warlock",24,"Destruction","Warlock"
"Discipline.Priest",400,"Discipline","Priest"
"Elemental.Shaman",69,"Elemental","Shaman"
"Enhancement.Shaman",20,"Enhancement","Shaman"
"Feral.Druid",142,"Feral","Druid"
"Fire.Mage",124,"Fire","Mage"
"Frost.Death Knight",19,"Frost","Death Knight"
"Frost.Mage",27,"Frost","Mage"
"Fury.Warrior",322,"Fury","Warrior"
"Guardian.Druid",10,"Guardian","Druid"
"Havoc.Demon Hunter",189,"Havoc","Demon Hunter"
"Holy.Paladin",157,"Holy","Paladin"
"Holy.Priest",341,"Holy","Priest"
"Marksmanship.Hunter",103,"Marksmanship","Hunter"
"Mistweaver.Monk",95,"Mistweaver","Monk"
"Outlaw.Rogue",111,"Outlaw","Rogue"
"Protection.Paladin",34,"Protection","Paladin"
"Protection.Warrior",7,"Protection","Warrior"
"Restoration.Druid",278,"Restoration","Druid"
"Restoration.Shaman",277,"Restoration","Shaman"
"Retribution.Paladin",97,"Retribution","Paladin"
"Shadow.Priest",103,"Shadow","Priest"
"Subtlety.Rogue",247,"Subtlety","Rogue"
"Survival.Hunter",138,"Survival","Hunter"
"Unholy.Death Knight",108,"Unholy","Death Knight"
"Vengeance.Demon Hunter",2,"Vengeance","Demon Hunter"
"Windwalker.Monk",124,"Windwalker","Monk"
