"Class","Spec","Talent","Talent.Level","Spec.Class","Char.Name"
"Shaman","Restoration","Unleash Life",15,"Restoration.Shaman","wnx"
"Shaman","Restoration","Echo of the Elements",25,"Restoration.Shaman","wnx"
"Shaman","Restoration","Earthgrab Totem",30,"Restoration.Shaman","wnx"
"Shaman","Restoration","Earthen Wall Totem",35,"Restoration.Shaman","wnx"
"Shaman","Restoration","Graceful Spirit",40,"Restoration.Shaman","wnx"
"Shaman","Restoration","Flash Flood",45,"Restoration.Shaman","wnx"
"Shaman","Restoration","Ascendance",50,"Restoration.Shaman","wnx"
"Priest","Holy","Renewed Faith",15,"Holy.Priest","ksys"
"Priest","Holy","Angelic Feather",25,"Holy.Priest","ksys"
"Priest","Holy","Guardian Angel",30,"Holy.Priest","ksys"
"Priest","Holy","Psychic Voice",35,"Holy.Priest","ksys"
"Priest","Holy","Surge of Light",40,"Holy.Priest","ksys"
"Priest","Holy","Benediction",45,"Holy.Priest","ksys"
"Priest","Holy","Apotheosis",50,"Holy.Priest","ksys"
"Monk","Windwalker","Chi Burst",15,"Windwalker.Monk","innerverse"
"Monk","Windwalker","Tiger's Lust",25,"Windwalker.Monk","innerverse"
"Monk","Windwalker","Ascension",30,"Windwalker.Monk","innerverse"
"Monk","Windwalker","Ring of Peace",35,"Windwalker.Monk","innerverse"
"Monk","Windwalker","Diffuse Magic",40,"Windwalker.Monk","innerverse"
"Monk","Windwalker","Dance of Chi-Ji",45,"Windwalker.Monk","innerverse"
"Monk","Windwalker","Whirling Dragon Punch",50,"Windwalker.Monk","innerverse"
"Priest","Holy","Renewed Faith",15,"Holy.Priest","birdbrain"
"Priest","Holy","Angelic Feather",25,"Holy.Priest","birdbrain"
"Priest","Holy","Guardian Angel",30,"Holy.Priest","birdbrain"
"Priest","Holy","Censure",35,"Holy.Priest","birdbrain"
"Priest","Holy","Surge of Light",40,"Holy.Priest","birdbrain"
"Priest","Holy","Benediction",45,"Holy.Priest","birdbrain"
"Priest","Holy","Apotheosis",50,"Holy.Priest","birdbrain"
"Monk","Windwalker","Chi Wave",15,"Windwalker.Monk","senseiww"
"Monk","Windwalker","Tiger's Lust",25,"Windwalker.Monk","senseiww"
"Monk","Windwalker","Fist of the White Tiger",30,"Windwalker.Monk","senseiww"
"Monk","Windwalker","Ring of Peace",35,"Windwalker.Monk","senseiww"
"Monk","Windwalker","Diffuse Magic",40,"Windwalker.Monk","senseiww"
"Monk","Windwalker","Dance of Chi-Ji",45,"Windwalker.Monk","senseiww"
