"Var1","Freq","spec","class"
"Affliction.Warlock",399,"Affliction","Warlock"
"Arcane.Mage",22,"Arcane","Mage"
"Arms.Warrior",70,"Arms","Warrior"
"Assassination.Rogue",122,"Assassination","Rogue"
"Balance.Druid",259,"Balance","Druid"
"Beast Mastery.Hunter",66,"Beast Mastery","Hunter"
"Blood.Death Knight",15,"Blood","Death Knight"
"Brewmaster.Monk",5,"Brewmaster","Monk"
"Demonology.Warlock",52,"Demonology","Warlock"
"Destruction.Warlock",58,"Destruction","Warlock"
"Discipline.Priest",396,"Discipline","Priest"
"Elemental.Shaman",121,"Elemental","Shaman"
"Enhancement.Shaman",34,"Enhancement","Shaman"
"Feral.Druid",76,"Feral","Druid"
"Fire.Mage",38,"Fire","Mage"
"Frost.Death Knight",86,"Frost","Death Knight"
"Frost.Mage",79,"Frost","Mage"
"Fury.Warrior",304,"Fury","Warrior"
"Guardian.Druid",251,"Guardian","Druid"
"Havoc.Demon Hunter",230,"Havoc","Demon Hunter"
"Holy.Paladin",180,"Holy","Paladin"
"Holy.Priest",246,"Holy","Priest"
"Marksmanship.Hunter",285,"Marksmanship","Hunter"
"Mistweaver.Monk",214,"Mistweaver","Monk"
"Outlaw.Rogue",46,"Outlaw","Rogue"
"Protection.Paladin",19,"Protection","Paladin"
"Protection.Warrior",8,"Protection","Warrior"
"Restoration.Druid",236,"Restoration","Druid"
"Restoration.Shaman",147,"Restoration","Shaman"
"Retribution.Paladin",279,"Retribution","Paladin"
"Shadow.Priest",97,"Shadow","Priest"
"Subtlety.Rogue",210,"Subtlety","Rogue"
"Survival.Hunter",53,"Survival","Hunter"
"Unholy.Death Knight",167,"Unholy","Death Knight"
"Vengeance.Demon Hunter",16,"Vengeance","Demon Hunter"
"Windwalker.Monk",76,"Windwalker","Monk"
