"Class","Spec","Talent","Talent.Level","Spec.Class","Char.Name"
"Druid","Restoration","Cenarion Ward",15,"Restoration.Druid","dno"
"Druid","Restoration","Wild Charge",25,"Restoration.Druid","dno"
"Druid","Restoration","Feral Affinity",30,"Restoration.Druid","dno"
"Druid","Restoration","Mighty Bash",35,"Restoration.Druid","dno"
"Druid","Restoration","Soul of the Forest",40,"Restoration.Druid","dno"
"Druid","Restoration","Overgrowth",45,"Restoration.Druid","dno"
"Druid","Restoration","Flourish",50,"Restoration.Druid","dno"
"Mage","Fire","Firestarter",15,"Fire.Mage","aeghis"
"Mage","Fire","Blazing Soul",25,"Fire.Mage","aeghis"
"Mage","Fire","Rune of Power",30,"Fire.Mage","aeghis"
"Mage","Fire","Flame On",35,"Fire.Mage","aeghis"
"Mage","Fire","Ring of Frost",40,"Fire.Mage","aeghis"
"Mage","Fire","Living Bomb",45,"Fire.Mage","aeghis"
"Mage","Fire","Kindling",50,"Fire.Mage","aeghis"
"Rogue","Outlaw","Quick Draw",15,"Outlaw.Rogue","chun"
"Rogue","Outlaw","Acrobatic Strikes",25,"Outlaw.Rogue","chun"
"Rogue","Outlaw","Deeper Stratagem",30,"Outlaw.Rogue","chun"
"Rogue","Outlaw","Elusiveness",35,"Outlaw.Rogue","chun"
"Rogue","Outlaw","Blinding Powder",40,"Outlaw.Rogue","chun"
"Rogue","Outlaw","Alacrity",45,"Outlaw.Rogue","chun"
"Rogue","Outlaw","Dancing Steel",50,"Outlaw.Rogue","chun"
"Priest","Discipline","Twist of Fate",15,"Discipline.Priest","mgxo"
"Priest","Discipline","Angelic Feather",25,"Discipline.Priest","mgxo"
"Priest","Discipline","Power Word: Solace",30,"Discipline.Priest","mgxo"
"Priest","Discipline","Psychic Voice",35,"Discipline.Priest","mgxo"
"Priest","Discipline","Contrition",40,"Discipline.Priest","mgxo"
"Priest","Discipline","Purge the Wicked",45,"Discipline.Priest","mgxo"
"Priest","Discipline","Lenience",50,"Discipline.Priest","mgxo"
"Priest","Discipline","Castigation",15,"Discipline.Priest","ichikokoro"
"Priest","Discipline","Body and Soul",25,"Discipline.Priest","ichikokoro"
"Priest","Discipline","Power Word: Solace",30,"Discipline.Priest","ichikokoro"
"Priest","Discipline","Psychic Voice",35,"Discipline.Priest","ichikokoro"
"Priest","Discipline","Sins of the Many",40,"Discipline.Priest","ichikokoro"
"Priest","Discipline","Purge the Wicked",45,"Discipline.Priest","ichikokoro"
"Priest","Discipline","Lenience",50,"Discipline.Priest","ichikokoro"
"Death Knight","Frost","Inexorable Assault",15,"Frost.Death Knight","degdk"
"Death Knight","Frost","Murderous Efficiency",25,"Frost.Death Knight","degdk"
"Death Knight","Frost","Blinding Sleet",30,"Frost.Death Knight","degdk"
"Death Knight","Frost","Avalanche",35,"Frost.Death Knight","degdk"
"Death Knight","Frost","Wraith Walk",40,"Frost.Death Knight","degdk"
"Death Knight","Frost","Gathering Storm",45,"Frost.Death Knight","degdk"
"Death Knight","Frost","Obliteration",50,"Frost.Death Knight","degdk"
"Rogue","Subtlety","Premeditation",15,"Subtlety.Rogue","pacee"
"Rogue","Subtlety","Nightstalker",25,"Subtlety.Rogue","pacee"
"Rogue","Subtlety","Marked for Death",30,"Subtlety.Rogue","pacee"
"Rogue","Subtlety","Cheat Death",35,"Subtlety.Rogue","pacee"
"Rogue","Subtlety","Prey on the Weak",40,"Subtlety.Rogue","pacee"
"Rogue","Subtlety","Enveloping Shadows",45,"Subtlety.Rogue","pacee"
"Rogue","Subtlety","Master of Shadows",50,"Subtlety.Rogue","pacee"
"Paladin","Retribution","Zeal",15,"Retribution.Paladin","chetmorton"
"Paladin","Retribution","Blade of Wrath",25,"Retribution.Paladin","chetmorton"
"Paladin","Retribution","Fist of Justice",30,"Retribution.Paladin","chetmorton"
"Paladin","Retribution","Cavalier",35,"Retribution.Paladin","chetmorton"
"Paladin","Retribution","Divine Purpose",40,"Retribution.Paladin","chetmorton"
"Paladin","Retribution","Healing Hands",45,"Retribution.Paladin","chetmorton"
"Paladin","Retribution","Sanctified Wrath",50,"Retribution.Paladin","chetmorton"
"Rogue","Assassination","Elaborate Planning",15,"Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","Master Assassin",25,"Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","Marked for Death",30,"Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","Cheat Death",35,"Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","Internal Bleeding",40,"Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","Alacrity",45,"Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","Hidden Blades",50,"Assassination.Rogue","sinepymkcus"
"Monk","Windwalker","Chi Wave",15,"Windwalker.Monk","nuttington"
"Monk","Windwalker","Tiger's Lust",25,"Windwalker.Monk","nuttington"
"Monk","Windwalker","Fist of the White Tiger",30,"Windwalker.Monk","nuttington"
"Monk","Windwalker","Ring of Peace",35,"Windwalker.Monk","nuttington"
"Monk","Windwalker","Diffuse Magic",40,"Windwalker.Monk","nuttington"
"Monk","Windwalker","Dance of Chi-Ji",45,"Windwalker.Monk","nuttington"
"Monk","Windwalker","Whirling Dragon Punch",50,"Windwalker.Monk","nuttington"
"Mage","Fire","Firestarter",15,"Fire.Mage","hansol"
"Mage","Fire","Blazing Soul",25,"Fire.Mage","hansol"
"Mage","Fire","Rune of Power",30,"Fire.Mage","hansol"
"Mage","Fire","Flame On",35,"Fire.Mage","hansol"
"Mage","Fire","Ring of Frost",40,"Fire.Mage","hansol"
"Mage","Fire","Living Bomb",45,"Fire.Mage","hansol"
"Mage","Fire","Kindling",50,"Fire.Mage","hansol"
"Druid","Feral","Lunar Inspiration",15,"Feral.Druid","axtin"
"Druid","Feral","Wild Charge",25,"Feral.Druid","axtin"
"Druid","Feral","Guardian Affinity",30,"Feral.Druid","axtin"
"Druid","Feral","Mighty Bash",35,"Feral.Druid","axtin"
"Druid","Feral","Soul of the Forest",40,"Feral.Druid","axtin"
"Druid","Feral","Brutal Slash",45,"Feral.Druid","axtin"
"Druid","Feral","Feral Frenzy",50,"Feral.Druid","axtin"
"Warrior","Fury","Sudden Death",15,"Fury.Warrior","grimgrip"
"Warrior","Fury","Storm Bolt",25,"Fury.Warrior","grimgrip"
"Warrior","Fury","Frenzy",30,"Fury.Warrior","grimgrip"
"Warrior","Fury","Warpaint",35,"Fury.Warrior","grimgrip"
"Warrior","Fury","Cruelty",40,"Fury.Warrior","grimgrip"
"Warrior","Fury","Bladestorm",45,"Fury.Warrior","grimgrip"
"Warrior","Fury","Reckless Abandon",50,"Fury.Warrior","grimgrip"
"Paladin","Retribution","Zeal",15,"Retribution.Paladin","lvladen"
"Paladin","Retribution","Blade of Wrath",25,"Retribution.Paladin","lvladen"
"Paladin","Retribution","Fist of Justice",30,"Retribution.Paladin","lvladen"
"Paladin","Retribution","Unbreakable Spirit",35,"Retribution.Paladin","lvladen"
"Paladin","Retribution","Divine Purpose",40,"Retribution.Paladin","lvladen"
"Paladin","Retribution","Healing Hands",45,"Retribution.Paladin","lvladen"
"Paladin","Retribution","Sanctified Wrath",50,"Retribution.Paladin","lvladen"
"Demon Hunter","Havoc","Felblade",15,"Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","Demon Blades",25,"Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","Unbound Chaos",30,"Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","Soul Rending",35,"Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","First Blood",40,"Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","Fel Eruption",45,"Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","Demonic",50,"Havoc.Demon Hunter","revolutio"
"Druid","Restoration","Cenarion Ward",15,"Restoration.Druid","dempster"
"Druid","Restoration","Wild Charge",25,"Restoration.Druid","dempster"
"Druid","Restoration","Feral Affinity",30,"Restoration.Druid","dempster"
"Druid","Restoration","Mighty Bash",35,"Restoration.Druid","dempster"
"Druid","Restoration","Soul of the Forest",40,"Restoration.Druid","dempster"
"Druid","Restoration","Overgrowth",45,"Restoration.Druid","dempster"
"Druid","Restoration","Flourish",50,"Restoration.Druid","dempster"
"Shaman","Restoration","Unleash Life",15,"Restoration.Shaman","wnx"
"Shaman","Restoration","Echo of the Elements",25,"Restoration.Shaman","wnx"
"Shaman","Restoration","Earthgrab Totem",30,"Restoration.Shaman","wnx"
"Shaman","Restoration","Earthen Wall Totem",35,"Restoration.Shaman","wnx"
"Shaman","Restoration","Graceful Spirit",40,"Restoration.Shaman","wnx"
"Shaman","Restoration","Flash Flood",45,"Restoration.Shaman","wnx"
"Shaman","Restoration","Ascendance",50,"Restoration.Shaman","wnx"
"Rogue","Subtlety","Premeditation",15,"Subtlety.Rogue","ilovermp"
"Rogue","Subtlety","Nightstalker",25,"Subtlety.Rogue","ilovermp"
"Rogue","Subtlety","Deeper Stratagem",30,"Subtlety.Rogue","ilovermp"
"Rogue","Subtlety","Elusiveness",35,"Subtlety.Rogue","ilovermp"
"Rogue","Subtlety","Prey on the Weak",40,"Subtlety.Rogue","ilovermp"
"Rogue","Subtlety","Enveloping Shadows",45,"Subtlety.Rogue","ilovermp"
"Rogue","Subtlety","Master of Shadows",50,"Subtlety.Rogue","ilovermp"
"Rogue","Outlaw","Weaponmaster",15,"Outlaw.Rogue","trillr"
"Rogue","Outlaw","Acrobatic Strikes",25,"Outlaw.Rogue","trillr"
"Rogue","Outlaw","Deeper Stratagem",30,"Outlaw.Rogue","trillr"
"Rogue","Outlaw","Elusiveness",35,"Outlaw.Rogue","trillr"
"Rogue","Outlaw","Blinding Powder",40,"Outlaw.Rogue","trillr"
"Rogue","Outlaw","Alacrity",45,"Outlaw.Rogue","trillr"
"Rogue","Outlaw","Blade Rush",50,"Outlaw.Rogue","trillr"
"Paladin","Holy","Bestow Faith",15,"Holy.Paladin","whatoncewas"
"Paladin","Holy","Saved by the Light",25,"Holy.Paladin","whatoncewas"
"Paladin","Holy","Blinding Light",30,"Holy.Paladin","whatoncewas"
"Paladin","Holy","Cavalier",35,"Holy.Paladin","whatoncewas"
