"Class","Spec","PvP.Talent","Spec.Class","Char.Name"
"Demon Hunter","Havoc","Demonic Origins","Havoc.Demon Hunter","mvqdh"
"Demon Hunter","Havoc","Reverse Magic","Havoc.Demon Hunter","mvqdh"
"Demon Hunter","Havoc","Mortal Dance","Havoc.Demon Hunter","mvqdh"
"Priest","Holy","Greater Fade","Holy.Priest","celestiah"
"Priest","Holy","Holy Ward","Holy.Priest","celestiah"
"Priest","Holy","Miracle Worker","Holy.Priest","celestiah"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","nahj"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","nahj"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","nahj"
"Mage","Arcane","Mass Invisibility","Arcane.Mage","aeghis"
"Mage","Arcane","Arcane Empowerment","Arcane.Mage","aeghis"
"Mage","Arcane","Temporal Shield","Arcane.Mage","aeghis"
"Paladin","Holy","Blessed Hands","Holy.Paladin","hyzu"
"Paladin","Holy","Divine Favor","Holy.Paladin","hyzu"
"Paladin","Holy","Darkest before the Dawn","Holy.Paladin","hyzu"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","chun"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","chun"
"Rogue","Outlaw","Take Your Cut","Outlaw.Rogue","chun"
"Death Knight","Unholy","Necrotic Aura","Unholy.Death Knight","wegofa"
"Death Knight","Unholy","Necrotic Wounds","Unholy.Death Knight","wegofa"
"Death Knight","Unholy","Strangulate","Unholy.Death Knight","wegofa"
"Warrior","Arms","Disarm","Arms.Warrior","larosx"
"Warrior","Arms","Sharpen Blade","Arms.Warrior","larosx"
"Warrior","Arms","War Banner","Arms.Warrior","larosx"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","nessper"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","nessper"
"Rogue","Outlaw","Maneuverability","Outlaw.Rogue","nessper"
"Warrior","Fury","Enduring Rage","Fury.Warrior","smexxin"
"Warrior","Fury","Battle Trance","Fury.Warrior","smexxin"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","smexxin"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","dyllbar"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","dyllbar"
"Shaman","Restoration","Living Tide","Restoration.Shaman","dyllbar"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","reminiscent"
"Warrior","Fury","Enduring Rage","Fury.Warrior","reminiscent"
"Warrior","Fury","Disarm","Fury.Warrior","reminiscent"
"Warrior","Arms","Sharpen Blade","Arms.Warrior","clapperr"
"Warrior","Arms","Disarm","Arms.Warrior","clapperr"
"Warrior","Arms","War Banner","Arms.Warrior","clapperr"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","dadbar"
"Shaman","Restoration","Living Tide","Restoration.Shaman","dadbar"
"Shaman","Restoration","Tidebringer","Restoration.Shaman","dadbar"
"Druid","Restoration","Reactive Resin","Restoration.Druid","bg"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","bg"
"Druid","Restoration","Focused Growth","Restoration.Druid","bg"
"Priest","Shadow","Void Volley","Shadow.Priest","sharkfromsea"
"Priest","Shadow","Megalomania","Shadow.Priest","sharkfromsea"
"Priest","Shadow","Greater Fade","Shadow.Priest","sharkfromsea"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","baegoesmeow"
"Druid","Restoration","Reactive Resin","Restoration.Druid","baegoesmeow"
"Druid","Restoration","High Winds","Restoration.Druid","baegoesmeow"
"Druid","Balance","Star Burst","Balance.Druid","oryy"
"Druid","Balance","Moonkin Aura","Balance.Druid","oryy"
"Druid","Balance","Owlkin Adept","Balance.Druid","oryy"
"Druid","Restoration","Reactive Resin","Restoration.Druid","monthotta"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","monthotta"
"Druid","Restoration","Focused Growth","Restoration.Druid","monthotta"
"Druid","Balance","High Winds","Balance.Druid","yungchimp"
"Druid","Balance","Moonkin Aura","Balance.Druid","yungchimp"
"Druid","Balance","Owlkin Adept","Balance.Druid","yungchimp"
"Death Knight","Unholy","Spellwarden","Unholy.Death Knight","partywaffles"
"Death Knight","Unholy","Strangulate","Unholy.Death Knight","partywaffles"
"Death Knight","Unholy","Necrotic Wounds","Unholy.Death Knight","partywaffles"
"Warrior","Fury","Warbringer","Fury.Warrior","thiccbiscuit"
"Warrior","Fury","Bloodrage","Fury.Warrior","thiccbiscuit"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","thiccbiscuit"
"Monk","Mistweaver","Eminence","Mistweaver.Monk","meepmonk"
"Monk","Mistweaver","Zen Focus Tea","Mistweaver.Monk","meepmonk"
"Monk","Mistweaver","Peaceweaver","Mistweaver.Monk","meepmonk"
"Paladin","Retribution","Blessing of Sanctuary","Retribution.Paladin","vanguards"
"Paladin","Retribution","Unbound Freedom","Retribution.Paladin","vanguards"
"Paladin","Retribution","Aura of Reckoning","Retribution.Paladin","vanguards"
"Warlock","Affliction","Rapid Contagion","Affliction.Warlock","flashxx"
"Warlock","Affliction","Bane of Shadows","Affliction.Warlock","flashxx"
"Warlock","Affliction","Rampant Afflictions","Affliction.Warlock","flashxx"
"Paladin","Protection","Guardian of the Forgotten Queen","Protection.Paladin","zelivan"
"Paladin","Protection","Sacred Duty","Protection.Paladin","zelivan"
"Paladin","Protection","Judgments of the Pure","Protection.Paladin","zelivan"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","legionisgood"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","legionisgood"
"Shaman","Restoration","Living Tide","Restoration.Shaman","legionisgood"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","jaromex"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","jaromex"
"Rogue","Subtlety","Death from Above","Subtlety.Rogue","jaromex"
"Paladin","Holy","Darkest before the Dawn","Holy.Paladin","lht"
"Paladin","Holy","Ultimate Sacrifice","Holy.Paladin","lht"
