"Class","Spec","Talent","Talent.Level","Spec.Class","Char.Name"
"Mage","Fire","Firestarter",15,"Fire.Mage","hansol"
"Mage","Fire","Blazing Soul",25,"Fire.Mage","hansol"
"Mage","Fire","Rune of Power",30,"Fire.Mage","hansol"
"Mage","Fire","Flame On",35,"Fire.Mage","hansol"
"Mage","Fire","Ring of Frost",40,"Fire.Mage","hansol"
"Mage","Fire","Living Bomb",45,"Fire.Mage","hansol"
"Mage","Fire","Kindling",50,"Fire.Mage","hansol"
"Mage","Fire","Firestarter",15,"Fire.Mage","nukedx"
"Mage","Fire","Blazing Soul",25,"Fire.Mage","nukedx"
"Mage","Fire","Rune of Power",30,"Fire.Mage","nukedx"
"Mage","Fire","Flame On",35,"Fire.Mage","nukedx"
"Mage","Fire","Ring of Frost",40,"Fire.Mage","nukedx"
"Mage","Fire","Living Bomb",45,"Fire.Mage","nukedx"
"Mage","Fire","Kindling",50,"Fire.Mage","nukedx"
"Priest","Holy","Enlightenment",15,"Holy.Priest","mason"
"Priest","Holy","Angelic Feather",25,"Holy.Priest","mason"
"Priest","Holy","Guardian Angel",30,"Holy.Priest","mason"
"Priest","Holy","Psychic Voice",35,"Holy.Priest","mason"
"Priest","Holy","Surge of Light",40,"Holy.Priest","mason"
"Priest","Holy","Benediction",45,"Holy.Priest","mason"
"Priest","Holy","Apotheosis",50,"Holy.Priest","mason"
"Rogue","Outlaw","Quick Draw",15,"Outlaw.Rogue","fdb"
"Rogue","Outlaw","Acrobatic Strikes",25,"Outlaw.Rogue","fdb"
"Rogue","Outlaw","Deeper Stratagem",30,"Outlaw.Rogue","fdb"
"Rogue","Outlaw","Elusiveness",35,"Outlaw.Rogue","fdb"
"Rogue","Outlaw","Blinding Powder",40,"Outlaw.Rogue","fdb"
"Rogue","Outlaw","Alacrity",45,"Outlaw.Rogue","fdb"
"Rogue","Outlaw","Blade Rush",50,"Outlaw.Rogue","fdb"
"Priest","Holy","Renewed Faith",15,"Holy.Priest","mindboink"
"Priest","Holy","Angelic Feather",25,"Holy.Priest","mindboink"
"Priest","Holy","Guardian Angel",30,"Holy.Priest","mindboink"
"Priest","Holy","Psychic Voice",35,"Holy.Priest","mindboink"
"Priest","Holy","Surge of Light",40,"Holy.Priest","mindboink"
"Priest","Holy","Benediction",45,"Holy.Priest","mindboink"
"Priest","Holy","Apotheosis",50,"Holy.Priest","mindboink"
"Rogue","Subtlety","Premeditation",15,"Subtlety.Rogue","romulap"
"Rogue","Subtlety","Subterfuge",25,"Subtlety.Rogue","romulap"
"Rogue","Subtlety","Marked for Death",30,"Subtlety.Rogue","romulap"
"Rogue","Subtlety","Elusiveness",35,"Subtlety.Rogue","romulap"
"Rogue","Subtlety","Prey on the Weak",40,"Subtlety.Rogue","romulap"
"Rogue","Subtlety","Enveloping Shadows",45,"Subtlety.Rogue","romulap"
"Rogue","Subtlety","Master of Shadows",50,"Subtlety.Rogue","romulap"
"Druid","Restoration","Cenarion Ward",15,"Restoration.Druid","gilysel"
"Druid","Restoration","Wild Charge",25,"Restoration.Druid","gilysel"
"Druid","Restoration","Guardian Affinity",30,"Restoration.Druid","gilysel"
"Druid","Restoration","Mighty Bash",35,"Restoration.Druid","gilysel"
"Druid","Restoration","Soul of the Forest",40,"Restoration.Druid","gilysel"
"Druid","Restoration","Overgrowth",45,"Restoration.Druid","gilysel"
"Druid","Restoration","Flourish",50,"Restoration.Druid","gilysel"
"Rogue","Subtlety","Premeditation",15,"Subtlety.Rogue","palumor"
"Rogue","Subtlety","Subterfuge",25,"Subtlety.Rogue","palumor"
"Rogue","Subtlety","Marked for Death",30,"Subtlety.Rogue","palumor"
"Rogue","Subtlety","Elusiveness",35,"Subtlety.Rogue","palumor"
"Rogue","Subtlety","Prey on the Weak",40,"Subtlety.Rogue","palumor"
