"Var1","Freq","spec","class"
"Affliction.Warlock",54,"Affliction","Warlock"
"Arcane.Mage",9,"Arcane","Mage"
"Arms.Warrior",63,"Arms","Warrior"
"Assassination.Rogue",127,"Assassination","Rogue"
"Balance.Druid",35,"Balance","Druid"
"Beast Mastery.Hunter",151,"Beast Mastery","Hunter"
"Blood.Death Knight",1,"Blood","Death Knight"
"Demonology.Warlock",202,"Demonology","Warlock"
"Destruction.Warlock",34,"Destruction","Warlock"
"Discipline.Priest",254,"Discipline","Priest"
"Elemental.Shaman",75,"Elemental","Shaman"
"Enhancement.Shaman",43,"Enhancement","Shaman"
"Feral.Druid",150,"Feral","Druid"
"Fire.Mage",137,"Fire","Mage"
"Frost.Death Knight",22,"Frost","Death Knight"
"Frost.Mage",19,"Frost","Mage"
"Fury.Warrior",265,"Fury","Warrior"
"Guardian.Druid",10,"Guardian","Druid"
"Havoc.Demon Hunter",169,"Havoc","Demon Hunter"
"Holy.Paladin",151,"Holy","Paladin"
"Holy.Priest",633,"Holy","Priest"
"Marksmanship.Hunter",58,"Marksmanship","Hunter"
"Mistweaver.Monk",109,"Mistweaver","Monk"
"Outlaw.Rogue",146,"Outlaw","Rogue"
"Protection.Paladin",19,"Protection","Paladin"
"Restoration.Druid",299,"Restoration","Druid"
"Restoration.Shaman",212,"Restoration","Shaman"
"Retribution.Paladin",67,"Retribution","Paladin"
"Shadow.Priest",130,"Shadow","Priest"
"Subtlety.Rogue",239,"Subtlety","Rogue"
"Survival.Hunter",149,"Survival","Hunter"
"Unholy.Death Knight",114,"Unholy","Death Knight"
"Vengeance.Demon Hunter",2,"Vengeance","Demon Hunter"
"Windwalker.Monk",97,"Windwalker","Monk"
