"Var1","Freq","spec","class"
"Affliction.Warlock",170,"Affliction","Warlock"
"Arcane.Mage",17,"Arcane","Mage"
"Arms.Warrior",60,"Arms","Warrior"
"Assassination.Rogue",166,"Assassination","Rogue"
"Balance.Druid",33,"Balance","Druid"
"Beast Mastery.Hunter",95,"Beast Mastery","Hunter"
"Blood.Death Knight",2,"Blood","Death Knight"
"Brewmaster.Monk",1,"Brewmaster","Monk"
"Demonology.Warlock",130,"Demonology","Warlock"
"Destruction.Warlock",28,"Destruction","Warlock"
"Discipline.Priest",362,"Discipline","Priest"
"Elemental.Shaman",70,"Elemental","Shaman"
"Enhancement.Shaman",30,"Enhancement","Shaman"
"Feral.Druid",171,"Feral","Druid"
"Fire.Mage",114,"Fire","Mage"
"Frost.Death Knight",17,"Frost","Death Knight"
"Frost.Mage",34,"Frost","Mage"
"Fury.Warrior",319,"Fury","Warrior"
"Guardian.Druid",17,"Guardian","Druid"
"Havoc.Demon Hunter",186,"Havoc","Demon Hunter"
"Holy.Paladin",144,"Holy","Paladin"
"Holy.Priest",346,"Holy","Priest"
"Marksmanship.Hunter",134,"Marksmanship","Hunter"
"Mistweaver.Monk",96,"Mistweaver","Monk"
"Outlaw.Rogue",87,"Outlaw","Rogue"
"Protection.Paladin",31,"Protection","Paladin"
"Protection.Warrior",3,"Protection","Warrior"
"Restoration.Druid",257,"Restoration","Druid"
"Restoration.Shaman",269,"Restoration","Shaman"
"Retribution.Paladin",155,"Retribution","Paladin"
"Shadow.Priest",89,"Shadow","Priest"
"Subtlety.Rogue",232,"Subtlety","Rogue"
"Survival.Hunter",128,"Survival","Hunter"
"Unholy.Death Knight",120,"Unholy","Death Knight"
"Vengeance.Demon Hunter",4,"Vengeance","Demon Hunter"
"Windwalker.Monk",119,"Windwalker","Monk"
