"Class","Spec","Talent","Talent.Level","Spec.Class"
"Hunter","Survival","Viper's Venom","","Survival.Hunter"
"Hunter","Survival","Guerrilla Tactics","","Survival.Hunter"
"Hunter","Survival","Camouflage","","Survival.Hunter"
"Hunter","Survival","Steel Trap","","Survival.Hunter"
"Hunter","Survival","Posthaste","","Survival.Hunter"
"Hunter","Survival","Flanking Strike","","Survival.Hunter"
"Hunter","Survival","Chakrams","","Survival.Hunter"
"Priest","Holy","Renewed Faith","","Holy.Priest"
"Priest","Holy","Angelic Feather","","Holy.Priest"
"Priest","Holy","Guardian Angel","","Holy.Priest"
"Priest","Holy","Psychic Voice","","Holy.Priest"
"Priest","Holy","Surge of Light","","Holy.Priest"
"Priest","Holy","Benediction","","Holy.Priest"
"Priest","Holy","Apotheosis","","Holy.Priest"
"Priest","Holy","Renewed Faith","","Holy.Priest"
"Priest","Holy","Angelic Feather","","Holy.Priest"
"Priest","Holy","Guardian Angel","","Holy.Priest"
"Priest","Holy","Psychic Voice","","Holy.Priest"
"Priest","Holy","Surge of Light","","Holy.Priest"
"Priest","Holy","Benediction","","Holy.Priest"
"Priest","Holy","Apotheosis","","Holy.Priest"
"Rogue","Assassination","Master Poisoner","","Assassination.Rogue"
"Rogue","Assassination","Subterfuge","","Assassination.Rogue"
"Rogue","Assassination","Marked for Death","","Assassination.Rogue"
"Rogue","Assassination","Elusiveness","","Assassination.Rogue"
"Rogue","Assassination","Internal Bleeding","","Assassination.Rogue"
"Rogue","Assassination","Alacrity","","Assassination.Rogue"
"Rogue","Assassination","Poison Bomb","","Assassination.Rogue"
"Rogue","Subtlety","Premeditation","","Subtlety.Rogue"
"Rogue","Subtlety","Subterfuge","","Subtlety.Rogue"
"Rogue","Subtlety","Marked for Death","","Subtlety.Rogue"
"Rogue","Subtlety","Elusiveness","","Subtlety.Rogue"
"Rogue","Subtlety","Prey on the Weak","","Subtlety.Rogue"
"Rogue","Subtlety","Enveloping Shadows","","Subtlety.Rogue"
"Rogue","Subtlety","Master of Shadows","","Subtlety.Rogue"
"Priest","Holy","Enlightenment","","Holy.Priest"
"Priest","Holy","Angelic Feather","","Holy.Priest"
"Priest","Holy","Guardian Angel","","Holy.Priest"
"Priest","Holy","Psychic Voice","","Holy.Priest"
"Priest","Holy","Surge of Light","","Holy.Priest"
"Priest","Holy","Benediction","","Holy.Priest"
"Priest","Holy","Apotheosis","","Holy.Priest"
"Rogue","Subtlety","Premeditation","","Subtlety.Rogue"
"Rogue","Subtlety","Nightstalker","","Subtlety.Rogue"
"Rogue","Subtlety","Deeper Stratagem","","Subtlety.Rogue"
"Rogue","Subtlety","Elusiveness","","Subtlety.Rogue"
"Rogue","Subtlety","Prey on the Weak","","Subtlety.Rogue"
"Rogue","Subtlety","Enveloping Shadows","","Subtlety.Rogue"
"Rogue","Subtlety","Master of Shadows","","Subtlety.Rogue"
"Druid","Feral","Sabertooth","","Feral.Druid"
"Druid","Feral","Wild Charge","","Feral.Druid"
"Druid","Feral","Restoration Affinity","","Feral.Druid"
"Druid","Feral","Mighty Bash","","Feral.Druid"
"Druid","Feral","Soul of the Forest","","Feral.Druid"
"Druid","Feral","Brutal Slash","","Feral.Druid"
"Druid","Feral","Feral Frenzy","","Feral.Druid"
"Priest","Holy","Renewed Faith","","Holy.Priest"
"Priest","Holy","Angelic Feather","","Holy.Priest"
"Priest","Holy","Guardian Angel","","Holy.Priest"
"Priest","Holy","Psychic Voice","","Holy.Priest"
"Priest","Holy","Surge of Light","","Holy.Priest"
"Priest","Holy","Benediction","","Holy.Priest"
"Priest","Holy","Apotheosis","","Holy.Priest"
"Priest","Holy","Enlightenment","","Holy.Priest"
"Priest","Holy","Angelic Feather","","Holy.Priest"
"Priest","Holy","Guardian Angel","","Holy.Priest"
"Priest","Holy","Psychic Voice","","Holy.Priest"
"Priest","Holy","Surge of Light","","Holy.Priest"
"Priest","Holy","Benediction","","Holy.Priest"
"Priest","Holy","Apotheosis","","Holy.Priest"
"Hunter","Survival","Alpha Predator","","Survival.Hunter"
"Hunter","Survival","Guerrilla Tactics","","Survival.Hunter"
"Hunter","Survival","Camouflage","","Survival.Hunter"
"Hunter","Survival","Bloodseeker","","Survival.Hunter"
"Hunter","Survival","Binding Shot","","Survival.Hunter"
"Hunter","Survival","Tip of the Spear","","Survival.Hunter"
"Hunter","Survival","Wildfire Infusion","","Survival.Hunter"
"Shaman","Enhancement","Forceful Winds","","Enhancement.Shaman"
"Shaman","Enhancement","Stormflurry","","Enhancement.Shaman"
"Shaman","Enhancement","Earth Shield","","Enhancement.Shaman"
"Shaman","Enhancement","Elemental Assault","","Enhancement.Shaman"
"Shaman","Enhancement","Nature's Guardian","","Enhancement.Shaman"
"Shaman","Enhancement","Sundering","","Enhancement.Shaman"
"Shaman","Enhancement","Ascendance","","Enhancement.Shaman"
"Rogue","Outlaw","Quick Draw","","Outlaw.Rogue"
"Rogue","Outlaw","Acrobatic Strikes","","Outlaw.Rogue"
"Rogue","Outlaw","Deeper Stratagem","","Outlaw.Rogue"
"Rogue","Outlaw","Elusiveness","","Outlaw.Rogue"
"Rogue","Outlaw","Blinding Powder","","Outlaw.Rogue"
"Rogue","Outlaw","Dreadblades","","Outlaw.Rogue"
"Rogue","Outlaw","Blade Rush","","Outlaw.Rogue"
"Rogue","Subtlety","Premeditation","","Subtlety.Rogue"
"Rogue","Subtlety","Nightstalker","","Subtlety.Rogue"
"Rogue","Subtlety","Deeper Stratagem","","Subtlety.Rogue"
"Rogue","Subtlety","Elusiveness","","Subtlety.Rogue"
"Rogue","Subtlety","Prey on the Weak","","Subtlety.Rogue"
"Rogue","Subtlety","Enveloping Shadows","","Subtlety.Rogue"
"Rogue","Subtlety","Master of Shadows","","Subtlety.Rogue"
"Druid","Restoration","Cenarion Ward","","Restoration.Druid"
"Druid","Restoration","Wild Charge","","Restoration.Druid"
"Druid","Restoration","Feral Affinity","","Restoration.Druid"
"Druid","Restoration","Mighty Bash","","Restoration.Druid"
"Druid","Restoration","Soul of the Forest","","Restoration.Druid"
"Druid","Restoration","Overgrowth","","Restoration.Druid"
"Druid","Restoration","Flourish","","Restoration.Druid"
"Warlock","Demonology","Dreadlash","","Demonology.Warlock"
"Warlock","Demonology","Power Siphon","","Demonology.Warlock"
"Warlock","Demonology","Demon Skin","","Demonology.Warlock"
"Warlock","Demonology","From the Shadows","","Demonology.Warlock"
"Warlock","Demonology","Howl of Terror","","Demonology.Warlock"
"Warlock","Demonology","Inner Demons","","Demonology.Warlock"
"Warlock","Demonology","Sacrificed Souls","","Demonology.Warlock"
