"Class","Spec","PvP.Talent","Spec.Class","Char.Name"
"Mage","Fire","Flamecannon","Fire.Mage","nukedx"
"Mage","Fire","Tinder","Fire.Mage","nukedx"
"Mage","Fire","Pyrokinesis","Fire.Mage","nukedx"
"Priest","Holy","Divine Ascension","Holy.Priest","waylor"
"Priest","Holy","Greater Fade","Holy.Priest","waylor"
"Priest","Holy","Miracle Worker","Holy.Priest","waylor"
"Priest","Holy","Ray of Hope","Holy.Priest","mindboink"
"Priest","Holy","Greater Fade","Holy.Priest","mindboink"
"Priest","Holy","Miracle Worker","Holy.Priest","mindboink"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","vicestko"
"Warrior","Fury","Battle Trance","Fury.Warrior","vicestko"
"Warrior","Fury","Disarm","Fury.Warrior","vicestko"
"Druid","Restoration","Early Spring","Restoration.Druid","gilysel"
"Druid","Restoration","Reactive Resin","Restoration.Druid","gilysel"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","gilysel"
"Priest","Holy","Greater Fade","Holy.Priest","tewiyakichkn"
"Priest","Holy","Cardinal Mending","Holy.Priest","tewiyakichkn"
"Priest","Holy","Miracle Worker","Holy.Priest","tewiyakichkn"
"Druid","Restoration","Early Spring","Restoration.Druid","lesylig"
"Druid","Restoration","Reactive Resin","Restoration.Druid","lesylig"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","lesylig"
"Druid","Feral","Leader of the Pack","Feral.Druid","eudog"
"Druid","Feral","Ferocious Wound","Feral.Druid","eudog"
"Druid","Feral","Strength of the Wild","Feral.Druid","eudog"
"Priest","Shadow","Psyfiend","Shadow.Priest","manofmystery"
"Priest","Shadow","Greater Fade","Shadow.Priest","manofmystery"
"Priest","Shadow","Megalomania","Shadow.Priest","manofmystery"
"Paladin","Holy","Ultimate Sacrifice","Holy.Paladin","brain"
"Paladin","Holy","Blessed Hands","Holy.Paladin","brain"
"Paladin","Holy","Divine Favor","Holy.Paladin","brain"
"Death Knight","Unholy","Strangulate","Unholy.Death Knight","vigaristaqt"
"Death Knight","Unholy","Necrotic Aura","Unholy.Death Knight","vigaristaqt"
"Death Knight","Unholy","Necrotic Wounds","Unholy.Death Knight","vigaristaqt"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","innocentgunz"
"Shaman","Restoration","Living Tide","Restoration.Shaman","innocentgunz"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","innocentgunz"
"Warrior","Fury","Disarm","Fury.Warrior","exzistance"
"Warrior","Fury","Battle Trance","Fury.Warrior","exzistance"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","exzistance"
"Paladin","Retribution","Aura of Reckoning","Retribution.Paladin","wingsprocd"
"Paladin","Retribution","Unbound Freedom","Retribution.Paladin","wingsprocd"
"Paladin","Retribution","Blessing of Sanctuary","Retribution.Paladin","wingsprocd"
"Priest","Discipline","Dome of Light","Discipline.Priest","smightxd"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","smightxd"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","smightxd"
"Warrior","Fury","Enduring Rage","Fury.Warrior","lagzistance"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","lagzistance"
"Warrior","Fury","Battle Trance","Fury.Warrior","lagzistance"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","romulap"
"Rogue","Subtlety","Thick as Thieves","Subtlety.Rogue","romulap"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","romulap"
"Hunter","Beast Mastery","Survival Tactics","Beast Mastery.Hunter","lplusratio"
"Hunter","Beast Mastery","Chimaeral Sting","Beast Mastery.Hunter","lplusratio"
"Hunter","Beast Mastery","Roar of Sacrifice","Beast Mastery.Hunter","lplusratio"
"Death Knight","Unholy","Strangulate","Unholy.Death Knight","gersinhu"
"Death Knight","Unholy","Necrotic Aura","Unholy.Death Knight","gersinhu"
"Death Knight","Unholy","Necrotic Wounds","Unholy.Death Knight","gersinhu"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","gbg"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","gbg"
"Rogue","Outlaw","Maneuverability","Outlaw.Rogue","gbg"
"Druid","Feral","Wicked Claws","Feral.Druid","marvin"
"Druid","Feral","Thorns","Feral.Druid","marvin"
"Druid","Feral","Strength of the Wild","Feral.Druid","marvin"
"Hunter","Survival","Roar of Sacrifice","Survival.Hunter","bicmex"
"Hunter","Survival","Survival Tactics","Survival.Hunter","bicmex"
"Hunter","Survival","Chimaeral Sting","Survival.Hunter","bicmex"
"Warrior","Fury","Enduring Rage","Fury.Warrior","smexxin"
"Warrior","Fury","Battle Trance","Fury.Warrior","smexxin"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","smexxin"
"Druid","Feral","Thorns","Feral.Druid","notinsanity"
"Druid","Feral","Leader of the Pack","Feral.Druid","notinsanity"
"Druid","Feral","Strength of the Wild","Feral.Druid","notinsanity"
"Druid","Restoration","Focused Growth","Restoration.Druid","toonah"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","toonah"
"Druid","Restoration","Mark of the Wild","Restoration.Druid","toonah"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","palumor"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","palumor"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","palumor"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","trillr"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","trillr"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","trillr"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","kalvish"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","kalvish"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","kalvish"
"Priest","Discipline","Dome of Light","Discipline.Priest","rinnegekz"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","rinnegekz"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","rinnegekz"
"Hunter","Beast Mastery","Roar of Sacrifice","Beast Mastery.Hunter","junglejym"
"Hunter","Beast Mastery","Chimaeral Sting","Beast Mastery.Hunter","junglejym"
"Hunter","Beast Mastery","Survival Tactics","Beast Mastery.Hunter","junglejym"
"Warlock","Demonology","Master Summoner","Demonology.Warlock","pd"
"Warlock","Demonology","Call Felhunter","Demonology.Warlock","pd"
"Warlock","Demonology","Fel Obelisk","Demonology.Warlock","pd"
"Priest","Holy","Holy Ward","Holy.Priest","olympicz"
"Priest","Holy","Miracle Worker","Holy.Priest","olympicz"
"Priest","Holy","Greater Fade","Holy.Priest","olympicz"
"Hunter","Beast Mastery","Survival Tactics","Beast Mastery.Hunter","rbtz"
"Hunter","Beast Mastery","Chimaeral Sting","Beast Mastery.Hunter","rbtz"
"Hunter","Beast Mastery","Roar of Sacrifice","Beast Mastery.Hunter","rbtz"
"Mage","Fire","Pyrokinesis","Fire.Mage","aeghis"
"Mage","Fire","Ring of Fire","Fire.Mage","aeghis"
"Mage","Fire","Tinder","Fire.Mage","aeghis"
"Druid","Feral","Wicked Claws","Feral.Druid","wodferal"
"Druid","Feral","Leader of the Pack","Feral.Druid","wodferal"
"Druid","Feral","Strength of the Wild","Feral.Druid","wodferal"
"Priest","Holy","Holy Ward","Holy.Priest","tonyparmesan"
"Priest","Holy","Greater Fade","Holy.Priest","tonyparmesan"
"Priest","Holy","Miracle Worker","Holy.Priest","tonyparmesan"
"Warrior","Fury","Warbringer","Fury.Warrior","revolol"
"Warrior","Fury","Battle Trance","Fury.Warrior","revolol"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","revolol"
