"Var1","Freq","spec","class"
"Affliction.Warlock",254,"Affliction","Warlock"
"Arcane.Mage",9,"Arcane","Mage"
"Arms.Warrior",49,"Arms","Warrior"
"Assassination.Rogue",118,"Assassination","Rogue"
"Balance.Druid",349,"Balance","Druid"
"Beast Mastery.Hunter",15,"Beast Mastery","Hunter"
"Blood.Death Knight",7,"Blood","Death Knight"
"Brewmaster.Monk",6,"Brewmaster","Monk"
"Demonology.Warlock",67,"Demonology","Warlock"
"Destruction.Warlock",52,"Destruction","Warlock"
"Discipline.Priest",426,"Discipline","Priest"
"Elemental.Shaman",86,"Elemental","Shaman"
"Enhancement.Shaman",18,"Enhancement","Shaman"
"Feral.Druid",61,"Feral","Druid"
"Fire.Mage",26,"Fire","Mage"
"Frost.Death Knight",99,"Frost","Death Knight"
"Frost.Mage",51,"Frost","Mage"
"Fury.Warrior",211,"Fury","Warrior"
"Guardian.Druid",210,"Guardian","Druid"
"Havoc.Demon Hunter",208,"Havoc","Demon Hunter"
"Holy.Paladin",134,"Holy","Paladin"
"Holy.Priest",216,"Holy","Priest"
"Marksmanship.Hunter",161,"Marksmanship","Hunter"
"Mistweaver.Monk",197,"Mistweaver","Monk"
"Outlaw.Rogue",36,"Outlaw","Rogue"
"Protection.Paladin",13,"Protection","Paladin"
"Protection.Warrior",5,"Protection","Warrior"
"Restoration.Druid",141,"Restoration","Druid"
"Restoration.Shaman",60,"Restoration","Shaman"
"Retribution.Paladin",242,"Retribution","Paladin"
"Shadow.Priest",68,"Shadow","Priest"
"Subtlety.Rogue",229,"Subtlety","Rogue"
"Survival.Hunter",36,"Survival","Hunter"
"Unholy.Death Knight",119,"Unholy","Death Knight"
"Vengeance.Demon Hunter",7,"Vengeance","Demon Hunter"
"Windwalker.Monk",43,"Windwalker","Monk"
