"Class","Spec","PvP.Talent","Spec.Class","Char.Name"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","dno"
"Druid","Restoration","Reactive Resin","Restoration.Druid","dno"
"Druid","Restoration","Deep Roots","Restoration.Druid","dno"
"Priest","Discipline","Blaze of Light","Discipline.Priest","pxdx"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","pxdx"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","pxdx"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","sadiator"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","sadiator"
"Rogue","Outlaw","Dismantle","Outlaw.Rogue","sadiator"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","lawbinger"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","lawbinger"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","lawbinger"
"Hunter","Survival","Roar of Sacrifice","Survival.Hunter","bicmex"
"Hunter","Survival","Survival Tactics","Survival.Hunter","bicmex"
"Hunter","Survival","Chimaeral Sting","Survival.Hunter","bicmex"
"Rogue","Subtlety","Veil of Midnight","Subtlety.Rogue","nessper"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","nessper"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","nessper"
"Monk","Mistweaver","Peaceweaver","Mistweaver.Monk","feedgødx"
"Monk","Mistweaver","Chrysalis","Mistweaver.Monk","feedgødx"
"Monk","Mistweaver","Eminence","Mistweaver.Monk","feedgødx"
"Druid","Feral","Thorns","Feral.Druid","feralgenius"
"Druid","Feral","Strength of the Wild","Feral.Druid","feralgenius"
"Druid","Feral","Leader of the Pack","Feral.Druid","feralgenius"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","pxdxtwo"
"Priest","Discipline","Blaze of Light","Discipline.Priest","pxdxtwo"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","pxdxtwo"
"Rogue","Outlaw","Dismantle","Outlaw.Rogue","sevenseconds"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","sevenseconds"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","sevenseconds"
"Druid","Feral","Strength of the Wild","Feral.Druid","fusex"
"Druid","Feral","Thorns","Feral.Druid","fusex"
"Druid","Feral","Ferocious Wound","Feral.Druid","fusex"
"Priest","Holy","Greater Fade","Holy.Priest","borugg"
"Priest","Holy","Holy Ward","Holy.Priest","borugg"
"Priest","Holy","Miracle Worker","Holy.Priest","borugg"
"Druid","Feral","Wicked Claws","Feral.Druid","axtin"
"Druid","Feral","Thorns","Feral.Druid","axtin"
"Druid","Feral","Strength of the Wild","Feral.Druid","axtin"
"Druid","Feral","Thorns","Feral.Druid","notinsanity"
"Druid","Feral","Leader of the Pack","Feral.Druid","notinsanity"
"Druid","Feral","Strength of the Wild","Feral.Druid","notinsanity"
"Priest","Holy","Miracle Worker","Holy.Priest","ømegagødx"
"Priest","Holy","Greater Fade","Holy.Priest","ømegagødx"
"Priest","Holy","Holy Ward","Holy.Priest","ømegagødx"
"Priest","Holy","Miracle Worker","Holy.Priest","eivirheitä"
"Priest","Holy","Holy Ward","Holy.Priest","eivirheitä"
"Priest","Holy","Greater Fade","Holy.Priest","eivirheitä"
"Priest","Holy","Holy Ward","Holy.Priest","señorvac"
"Priest","Holy","Greater Fade","Holy.Priest","señorvac"
"Priest","Holy","Miracle Worker","Holy.Priest","señorvac"
"Priest","Holy","Miracle Worker","Holy.Priest","sollaira"
"Priest","Holy","Greater Fade","Holy.Priest","sollaira"
"Priest","Holy","Ray of Hope","Holy.Priest","sollaira"
"Hunter","Beast Mastery","Roar of Sacrifice","Beast Mastery.Hunter","ssds"
"Hunter","Beast Mastery","Chimaeral Sting","Beast Mastery.Hunter","ssds"
"Hunter","Beast Mastery","Survival Tactics","Beast Mastery.Hunter","ssds"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","æßøäîètîÿ"
"Priest","Discipline","Dome of Light","Discipline.Priest","æßøäîètîÿ"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","æßøäîètîÿ"
"Druid","Feral","Wicked Claws","Feral.Druid","wodferal"
"Druid","Feral","Leader of the Pack","Feral.Druid","wodferal"
"Druid","Feral","Strength of the Wild","Feral.Druid","wodferal"
"Mage","Fire","Pyrokinesis","Fire.Mage","aeghis"
"Mage","Fire","Ring of Fire","Fire.Mage","aeghis"
"Mage","Fire","Tinder","Fire.Mage","aeghis"
"Priest","Holy","Holy Ward","Holy.Priest","kikyö"
"Priest","Holy","Greater Fade","Holy.Priest","kikyö"
"Priest","Holy","Miracle Worker","Holy.Priest","kikyö"
"Rogue","Subtlety","Thick as Thieves","Subtlety.Rogue","explicit"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","explicit"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","explicit"
"Druid","Feral","Ferocious Wound","Feral.Druid","wodferalz"
"Druid","Feral","Thorns","Feral.Druid","wodferalz"
"Druid","Feral","Strength of the Wild","Feral.Druid","wodferalz"
"Hunter","Marksmanship","Ranger's Finesse","Marksmanship.Hunter","bonquiqui"
"Hunter","Marksmanship","Survival Tactics","Marksmanship.Hunter","bonquiqui"
"Hunter","Marksmanship","Trueshot Mastery","Marksmanship.Hunter","bonquiqui"
"Demon Hunter","Havoc","Chaotic Imprint","Havoc.Demon Hunter","preblur"
"Demon Hunter","Havoc","Reverse Magic","Havoc.Demon Hunter","preblur"
"Demon Hunter","Havoc","Mortal Dance","Havoc.Demon Hunter","preblur"
"Monk","Mistweaver","Eminence","Mistweaver.Monk","stopflopnrop"
"Monk","Mistweaver","Peaceweaver","Mistweaver.Monk","stopflopnrop"
"Monk","Mistweaver","Chrysalis","Mistweaver.Monk","stopflopnrop"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","clownvish"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","clownvish"
"Rogue","Outlaw","Maneuverability","Outlaw.Rogue","clownvish"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","chun"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","chun"
"Rogue","Outlaw","Maneuverability","Outlaw.Rogue","chun"
"Monk","Windwalker","Alpha Tiger","Windwalker.Monk","zenli"
"Monk","Windwalker","Reverse Harm","Windwalker.Monk","zenli"
"Monk","Windwalker","Turbo Fists","Windwalker.Monk","zenli"
"Mage","Fire","Pyrokinesis","Fire.Mage","xaryu"
"Mage","Fire","Tinder","Fire.Mage","xaryu"
"Mage","Fire","Netherwind Armor","Fire.Mage","xaryu"
"Warlock","Demonology","Call Felhunter","Demonology.Warlock","oldasianman"
"Warlock","Demonology","Master Summoner","Demonology.Warlock","oldasianman"
"Warlock","Demonology","Fel Obelisk","Demonology.Warlock","oldasianman"
