"Var1","Freq","spec","class"
"Affliction.Warlock",135,"Affliction","Warlock"
"Arcane.Mage",15,"Arcane","Mage"
"Arms.Warrior",63,"Arms","Warrior"
"Assassination.Rogue",178,"Assassination","Rogue"
"Balance.Druid",36,"Balance","Druid"
"Beast Mastery.Hunter",94,"Beast Mastery","Hunter"
"Blood.Death Knight",1,"Blood","Death Knight"
"Brewmaster.Monk",3,"Brewmaster","Monk"
"Demonology.Warlock",141,"Demonology","Warlock"
"Destruction.Warlock",27,"Destruction","Warlock"
"Discipline.Priest",396,"Discipline","Priest"
"Elemental.Shaman",74,"Elemental","Shaman"
"Enhancement.Shaman",23,"Enhancement","Shaman"
"Feral.Druid",153,"Feral","Druid"
"Fire.Mage",135,"Fire","Mage"
"Frost.Death Knight",14,"Frost","Death Knight"
"Frost.Mage",25,"Frost","Mage"
"Fury.Warrior",322,"Fury","Warrior"
"Guardian.Druid",17,"Guardian","Druid"
"Havoc.Demon Hunter",175,"Havoc","Demon Hunter"
"Holy.Paladin",156,"Holy","Paladin"
"Holy.Priest",359,"Holy","Priest"
"Marksmanship.Hunter",96,"Marksmanship","Hunter"
"Mistweaver.Monk",106,"Mistweaver","Monk"
"Outlaw.Rogue",101,"Outlaw","Rogue"
"Protection.Paladin",46,"Protection","Paladin"
"Protection.Warrior",5,"Protection","Warrior"
"Restoration.Druid",277,"Restoration","Druid"
"Restoration.Shaman",273,"Restoration","Shaman"
"Retribution.Paladin",107,"Retribution","Paladin"
"Shadow.Priest",93,"Shadow","Priest"
"Subtlety.Rogue",246,"Subtlety","Rogue"
"Survival.Hunter",141,"Survival","Hunter"
"Unholy.Death Knight",102,"Unholy","Death Knight"
"Vengeance.Demon Hunter",3,"Vengeance","Demon Hunter"
"Windwalker.Monk",121,"Windwalker","Monk"
