"Var1","Freq","spec","class"
"Affliction.Warlock",274,"Affliction","Warlock"
"Arcane.Mage",13,"Arcane","Mage"
"Arms.Warrior",109,"Arms","Warrior"
"Assassination.Rogue",73,"Assassination","Rogue"
"Balance.Druid",90,"Balance","Druid"
"Beast Mastery.Hunter",81,"Beast Mastery","Hunter"
"Blood.Death Knight",3,"Blood","Death Knight"
"Brewmaster.Monk",1,"Brewmaster","Monk"
"Demonology.Warlock",156,"Demonology","Warlock"
"Destruction.Warlock",53,"Destruction","Warlock"
"Discipline.Priest",344,"Discipline","Priest"
"Elemental.Shaman",199,"Elemental","Shaman"
"Enhancement.Shaman",119,"Enhancement","Shaman"
"Feral.Druid",110,"Feral","Druid"
"Fire.Mage",65,"Fire","Mage"
"Frost.Death Knight",25,"Frost","Death Knight"
"Frost.Mage",45,"Frost","Mage"
"Fury.Warrior",351,"Fury","Warrior"
"Guardian.Druid",8,"Guardian","Druid"
"Havoc.Demon Hunter",159,"Havoc","Demon Hunter"
"Holy.Paladin",242,"Holy","Paladin"
"Holy.Priest",221,"Holy","Priest"
"Marksmanship.Hunter",61,"Marksmanship","Hunter"
"Mistweaver.Monk",111,"Mistweaver","Monk"
"Outlaw.Rogue",58,"Outlaw","Rogue"
"Protection.Paladin",24,"Protection","Paladin"
"Protection.Warrior",4,"Protection","Warrior"
"Restoration.Druid",176,"Restoration","Druid"
"Restoration.Shaman",295,"Restoration","Shaman"
"Retribution.Paladin",236,"Retribution","Paladin"
"Shadow.Priest",186,"Shadow","Priest"
"Subtlety.Rogue",79,"Subtlety","Rogue"
"Survival.Hunter",52,"Survival","Hunter"
"Unholy.Death Knight",210,"Unholy","Death Knight"
"Vengeance.Demon Hunter",1,"Vengeance","Demon Hunter"
"Windwalker.Monk",84,"Windwalker","Monk"
