"Var1","Freq","spec","class"
"Affliction.Warlock",123,"Affliction","Warlock"
"Arcane.Mage",16,"Arcane","Mage"
"Arms.Warrior",69,"Arms","Warrior"
"Assassination.Rogue",173,"Assassination","Rogue"
"Balance.Druid",38,"Balance","Druid"
"Beast Mastery.Hunter",108,"Beast Mastery","Hunter"
"Blood.Death Knight",1,"Blood","Death Knight"
"Brewmaster.Monk",7,"Brewmaster","Monk"
"Demonology.Warlock",123,"Demonology","Warlock"
"Destruction.Warlock",26,"Destruction","Warlock"
"Discipline.Priest",414,"Discipline","Priest"
"Elemental.Shaman",74,"Elemental","Shaman"
"Enhancement.Shaman",20,"Enhancement","Shaman"
"Feral.Druid",128,"Feral","Druid"
"Fire.Mage",116,"Fire","Mage"
"Frost.Death Knight",16,"Frost","Death Knight"
"Frost.Mage",19,"Frost","Mage"
"Fury.Warrior",327,"Fury","Warrior"
"Guardian.Druid",21,"Guardian","Druid"
"Havoc.Demon Hunter",194,"Havoc","Demon Hunter"
"Holy.Paladin",157,"Holy","Paladin"
"Holy.Priest",334,"Holy","Priest"
"Marksmanship.Hunter",86,"Marksmanship","Hunter"
"Mistweaver.Monk",92,"Mistweaver","Monk"
"Outlaw.Rogue",137,"Outlaw","Rogue"
"Protection.Paladin",38,"Protection","Paladin"
"Protection.Warrior",7,"Protection","Warrior"
"Restoration.Druid",305,"Restoration","Druid"
"Restoration.Shaman",272,"Restoration","Shaman"
"Retribution.Paladin",83,"Retribution","Paladin"
"Shadow.Priest",88,"Shadow","Priest"
"Subtlety.Rogue",245,"Subtlety","Rogue"
"Survival.Hunter",146,"Survival","Hunter"
"Unholy.Death Knight",101,"Unholy","Death Knight"
"Vengeance.Demon Hunter",5,"Vengeance","Demon Hunter"
"Windwalker.Monk",131,"Windwalker","Monk"
