"Class","Spec","PvP.Talent","Spec.Class","Char.Name"
"Priest","Holy","Greater Fade","Holy.Priest","celestiah"
"Priest","Holy","Holy Ward","Holy.Priest","celestiah"
"Priest","Holy","Miracle Worker","Holy.Priest","celestiah"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","nahj"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","nahj"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","nahj"
"Mage","Fire","Pyrokinesis","Fire.Mage","aeghis"
"Mage","Fire","Ring of Fire","Fire.Mage","aeghis"
"Mage","Fire","Tinder","Fire.Mage","aeghis"
"Warrior","Arms","Sharpen Blade","Arms.Warrior","clapperr"
"Warrior","Arms","Disarm","Arms.Warrior","clapperr"
"Warrior","Arms","War Banner","Arms.Warrior","clapperr"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","reminiscent"
"Warrior","Fury","Enduring Rage","Fury.Warrior","reminiscent"
"Warrior","Fury","Disarm","Fury.Warrior","reminiscent"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","chun"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","chun"
"Rogue","Outlaw","Take Your Cut","Outlaw.Rogue","chun"
"Death Knight","Unholy","Spellwarden","Unholy.Death Knight","partywaffles"
"Death Knight","Unholy","Strangulate","Unholy.Death Knight","partywaffles"
"Death Knight","Unholy","Necrotic Wounds","Unholy.Death Knight","partywaffles"
"Paladin","Retribution","Blessing of Sanctuary","Retribution.Paladin","vanguards"
"Paladin","Retribution","Unbound Freedom","Retribution.Paladin","vanguards"
"Paladin","Retribution","Aura of Reckoning","Retribution.Paladin","vanguards"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","legionisgood"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","legionisgood"
"Shaman","Restoration","Living Tide","Restoration.Shaman","legionisgood"
"Shaman","Enhancement","Grounding Totem","Enhancement.Shaman","saul"
"Shaman","Enhancement","Swelling Waves","Enhancement.Shaman","saul"
"Shaman","Enhancement","Static Field Totem","Enhancement.Shaman","saul"
"Rogue","Subtlety","Death from Above","Subtlety.Rogue","jaromex"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","jaromex"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","jaromex"
"Shaman","Restoration","Living Tide","Restoration.Shaman","breadx"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","breadx"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","breadx"
"Paladin","Holy","Darkest before the Dawn","Holy.Paladin","lht"
"Paladin","Holy","Ultimate Sacrifice","Holy.Paladin","lht"
"Paladin","Holy","Blessed Hands","Holy.Paladin","lht"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","adelgab"
"Rogue","Assassination","System Shock","Assassination.Rogue","adelgab"
"Rogue","Assassination","Flying Daggers","Assassination.Rogue","adelgab"
"Druid","Restoration","Focused Growth","Restoration.Druid","rennx"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","rennx"
