"Class","Spec","PvP.Talent","Spec.Class","Char.Name"
"Priest","Holy","Greater Fade","Holy.Priest","celestiah"
"Priest","Holy","Holy Ward","Holy.Priest","celestiah"
"Priest","Holy","Miracle Worker","Holy.Priest","celestiah"
"Shaman","Restoration","Living Tide","Restoration.Shaman","breadx"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","breadx"
"Shaman","Restoration","Skyfury Totem","Restoration.Shaman","breadx"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","adelgab"
"Rogue","Assassination","System Shock","Assassination.Rogue","adelgab"
"Rogue","Assassination","Smoke Bomb","Assassination.Rogue","adelgab"
"Paladin","Holy","Darkest before the Dawn","Holy.Paladin","imsoholy"
"Paladin","Holy","Divine Favor","Holy.Paladin","imsoholy"
"Paladin","Holy","Blessed Hands","Holy.Paladin","imsoholy"
"Priest","Shadow","Void Volley","Shadow.Priest","inuyasha"
"Priest","Shadow","Megalomania","Shadow.Priest","inuyasha"
"Priest","Shadow","Greater Fade","Shadow.Priest","inuyasha"
"Shaman","Enhancement","Shamanism","Enhancement.Shaman","keyturn"
"Shaman","Enhancement","Grounding Totem","Enhancement.Shaman","keyturn"
"Shaman","Enhancement","Static Field Totem","Enhancement.Shaman","keyturn"
"Monk","Windwalker","Reverse Harm","Windwalker.Monk","feverdreamin"
"Monk","Windwalker","Alpha Tiger","Windwalker.Monk","feverdreamin"
"Monk","Windwalker","Turbo Fists","Windwalker.Monk","feverdreamin"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","nahj"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","nahj"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","nahj"
"Mage","Fire","Pyrokinesis","Fire.Mage","aeghis"
"Mage","Fire","Ring of Fire","Fire.Mage","aeghis"
"Mage","Fire","Tinder","Fire.Mage","aeghis"
"Hunter","Marksmanship","Scatter Shot","Marksmanship.Hunter","symz"
"Hunter","Marksmanship","Roar of Sacrifice","Marksmanship.Hunter","symz"
"Hunter","Marksmanship","Survival Tactics","Marksmanship.Hunter","symz"
"Priest","Discipline","Dome of Light","Discipline.Priest","doodles"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","doodles"
"Priest","Discipline","Dark Archangel","Discipline.Priest","doodles"
"Death Knight","Frost","Dead of Winter","Frost.Death Knight","lokitabeso"
"Death Knight","Frost","Chill Streak","Frost.Death Knight","lokitabeso"
"Death Knight","Frost","Strangulate","Frost.Death Knight","lokitabeso"
"Mage","Arcane","Temporal Shield","Arcane.Mage","numbing"
"Mage","Arcane","Arcane Empowerment","Arcane.Mage","numbing"
"Mage","Arcane","Mass Invisibility","Arcane.Mage","numbing"
"Druid","Balance","Owlkin Adept","Balance.Druid","snartx"
"Druid","Balance","Moonkin Aura","Balance.Druid","snartx"
"Druid","Balance","High Winds","Balance.Druid","snartx"
"Priest","Holy","Ray of Hope","Holy.Priest","dorgondra"
"Priest","Holy","Miracle Worker","Holy.Priest","dorgondra"
"Priest","Holy","Greater Fade","Holy.Priest","dorgondra"
