"Var1","Freq","spec","class"
"Affliction.Warlock",311,"Affliction","Warlock"
"Arcane.Mage",14,"Arcane","Mage"
"Arms.Warrior",97,"Arms","Warrior"
"Assassination.Rogue",61,"Assassination","Rogue"
"Balance.Druid",91,"Balance","Druid"
"Beast Mastery.Hunter",81,"Beast Mastery","Hunter"
"Blood.Death Knight",4,"Blood","Death Knight"
"Demonology.Warlock",168,"Demonology","Warlock"
"Destruction.Warlock",46,"Destruction","Warlock"
"Discipline.Priest",303,"Discipline","Priest"
"Elemental.Shaman",219,"Elemental","Shaman"
"Enhancement.Shaman",108,"Enhancement","Shaman"
"Feral.Druid",103,"Feral","Druid"
"Fire.Mage",65,"Fire","Mage"
"Frost.Death Knight",27,"Frost","Death Knight"
"Frost.Mage",40,"Frost","Mage"
"Fury.Warrior",359,"Fury","Warrior"
"Guardian.Druid",7,"Guardian","Druid"
"Havoc.Demon Hunter",165,"Havoc","Demon Hunter"
"Holy.Paladin",244,"Holy","Paladin"
"Holy.Priest",231,"Holy","Priest"
"Marksmanship.Hunter",61,"Marksmanship","Hunter"
"Mistweaver.Monk",118,"Mistweaver","Monk"
"Outlaw.Rogue",51,"Outlaw","Rogue"
"Protection.Paladin",19,"Protection","Paladin"
"Protection.Warrior",2,"Protection","Warrior"
"Restoration.Druid",179,"Restoration","Druid"
"Restoration.Shaman",298,"Restoration","Shaman"
"Retribution.Paladin",235,"Retribution","Paladin"
"Shadow.Priest",203,"Shadow","Priest"
"Subtlety.Rogue",71,"Subtlety","Rogue"
"Survival.Hunter",69,"Survival","Hunter"
"Unholy.Death Knight",182,"Unholy","Death Knight"
"Vengeance.Demon Hunter",4,"Vengeance","Demon Hunter"
"Windwalker.Monk",78,"Windwalker","Monk"
