"Var1","Freq","spec","class"
"Affliction.Warlock",58,"Affliction","Warlock"
"Arcane.Mage",9,"Arcane","Mage"
"Arms.Warrior",66,"Arms","Warrior"
"Assassination.Rogue",129,"Assassination","Rogue"
"Balance.Druid",35,"Balance","Druid"
"Beast Mastery.Hunter",139,"Beast Mastery","Hunter"
"Blood.Death Knight",1,"Blood","Death Knight"
"Brewmaster.Monk",2,"Brewmaster","Monk"
"Demonology.Warlock",200,"Demonology","Warlock"
"Destruction.Warlock",36,"Destruction","Warlock"
"Discipline.Priest",266,"Discipline","Priest"
"Elemental.Shaman",72,"Elemental","Shaman"
"Enhancement.Shaman",40,"Enhancement","Shaman"
"Feral.Druid",146,"Feral","Druid"
"Fire.Mage",137,"Fire","Mage"
"Frost.Death Knight",21,"Frost","Death Knight"
"Frost.Mage",19,"Frost","Mage"
"Fury.Warrior",263,"Fury","Warrior"
"Guardian.Druid",11,"Guardian","Druid"
"Havoc.Demon Hunter",166,"Havoc","Demon Hunter"
"Holy.Paladin",150,"Holy","Paladin"
"Holy.Priest",612,"Holy","Priest"
"Marksmanship.Hunter",63,"Marksmanship","Hunter"
"Mistweaver.Monk",108,"Mistweaver","Monk"
"Outlaw.Rogue",142,"Outlaw","Rogue"
"Protection.Paladin",20,"Protection","Paladin"
"Protection.Warrior",1,"Protection","Warrior"
"Restoration.Druid",295,"Restoration","Druid"
"Restoration.Shaman",215,"Restoration","Shaman"
"Retribution.Paladin",66,"Retribution","Paladin"
"Shadow.Priest",137,"Shadow","Priest"
"Subtlety.Rogue",244,"Subtlety","Rogue"
"Survival.Hunter",155,"Survival","Hunter"
"Unholy.Death Knight",115,"Unholy","Death Knight"
"Windwalker.Monk",103,"Windwalker","Monk"
