"Class","Spec","PvP.Talent","Spec.Class","Char.Name"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","dno"
"Druid","Restoration","Reactive Resin","Restoration.Druid","dno"
"Druid","Restoration","High Winds","Restoration.Druid","dno"
"Mage","Fire","Pyrokinesis","Fire.Mage","aeghis"
"Mage","Fire","Ring of Fire","Fire.Mage","aeghis"
"Mage","Fire","Tinder","Fire.Mage","aeghis"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","chun"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","chun"
"Rogue","Outlaw","Take Your Cut","Outlaw.Rogue","chun"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","mgxo"
"Priest","Discipline","Dome of Light","Discipline.Priest","mgxo"
"Priest","Discipline","Dark Archangel","Discipline.Priest","mgxo"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","ichikokoro"
"Priest","Discipline","Dome of Light","Discipline.Priest","ichikokoro"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","ichikokoro"
"Death Knight","Frost","Dead of Winter","Frost.Death Knight","degdk"
"Death Knight","Frost","Death's Echo","Frost.Death Knight","degdk"
"Death Knight","Frost","Strangulate","Frost.Death Knight","degdk"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","pacee"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","pacee"
"Rogue","Subtlety","Maneuverability","Subtlety.Rogue","pacee"
"Paladin","Retribution","Unbound Freedom","Retribution.Paladin","chetmorton"
"Paladin","Retribution","Aura of Reckoning","Retribution.Paladin","chetmorton"
"Paladin","Retribution","Luminescence","Retribution.Paladin","chetmorton"
"Rogue","Assassination","Flying Daggers","Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","System Shock","Assassination.Rogue","sinepymkcus"
"Monk","Windwalker","Grapple Weapon","Windwalker.Monk","nuttington"
"Monk","Windwalker","Turbo Fists","Windwalker.Monk","nuttington"
"Monk","Windwalker","Alpha Tiger","Windwalker.Monk","nuttington"
"Mage","Fire","Pyrokinesis","Fire.Mage","hansol"
"Mage","Fire","Flamecannon","Fire.Mage","hansol"
"Mage","Fire","Tinder","Fire.Mage","hansol"
"Druid","Feral","Thorns","Feral.Druid","axtin"
"Druid","Feral","Savage Momentum","Feral.Druid","axtin"
"Druid","Feral","Leader of the Pack","Feral.Druid","axtin"
"Warrior","Fury","Battle Trance","Fury.Warrior","grimgrip"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","grimgrip"
"Warrior","Fury","Enduring Rage","Fury.Warrior","grimgrip"
"Paladin","Retribution","Unbound Freedom","Retribution.Paladin","lvladen"
"Paladin","Retribution","Aura of Reckoning","Retribution.Paladin","lvladen"
"Paladin","Retribution","Lawbringer","Retribution.Paladin","lvladen"
"Demon Hunter","Havoc","Mortal Dance","Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","Demonic Origins","Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","Isolated Prey","Havoc.Demon Hunter","revolutio"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","dempster"
"Druid","Restoration","Thorns","Restoration.Druid","dempster"
"Druid","Restoration","Deep Roots","Restoration.Druid","dempster"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","wnx"
"Shaman","Restoration","Living Tide","Restoration.Shaman","wnx"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","wnx"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","ilovermp"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","ilovermp"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","ilovermp"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","trillr"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","trillr"
"Rogue","Outlaw","Dismantle","Outlaw.Rogue","trillr"
"Paladin","Holy","Darkest before the Dawn","Holy.Paladin","whatoncewas"
"Paladin","Holy","Divine Favor","Holy.Paladin","whatoncewas"
"Paladin","Holy","Blessed Hands","Holy.Paladin","whatoncewas"
"Rogue","Assassination","Smoke Bomb","Assassination.Rogue","baldzx"
"Rogue","Assassination","Dismantle","Assassination.Rogue","baldzx"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","baldzx"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","dempy"
"Druid","Restoration","Thorns","Restoration.Druid","dempy"
"Druid","Restoration","Focused Growth","Restoration.Druid","dempy"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","coalie"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","coalie"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","coalie"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","dvin"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","dvin"
"Rogue","Outlaw","Dismantle","Outlaw.Rogue","dvin"
"Shaman","Elemental","Skyfury Totem","Elemental.Shaman","gatorwaves"
"Shaman","Elemental","Control of Lava","Elemental.Shaman","gatorwaves"
"Shaman","Elemental","Grounding Totem","Elemental.Shaman","gatorwaves"
"Druid","Restoration","Reactive Resin","Restoration.Druid","hojbolt"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","hojbolt"
"Druid","Restoration","Thorns","Restoration.Druid","hojbolt"
"Priest","Holy","Miracle Worker","Holy.Priest","peat"
"Priest","Holy","Divine Ascension","Holy.Priest","peat"
"Priest","Holy","Greater Fade","Holy.Priest","peat"
"Demon Hunter","Havoc","Reverse Magic","Havoc.Demon Hunter","cynthadra"
"Demon Hunter","Havoc","Demonic Origins","Havoc.Demon Hunter","cynthadra"
"Demon Hunter","Havoc","Mortal Dance","Havoc.Demon Hunter","cynthadra"
"Mage","Fire","Pyrokinesis","Fire.Mage","xaryu"
"Mage","Fire","Tinder","Fire.Mage","xaryu"
"Mage","Fire","Netherwind Armor","Fire.Mage","xaryu"
"Warlock","Affliction","Rampant Afflictions","Affliction.Warlock","yawanur"
"Warlock","Affliction","Rapid Contagion","Affliction.Warlock","yawanur"
"Warlock","Affliction","Essence Drain","Affliction.Warlock","yawanur"
"Death Knight","Frost","Strangulate","Frost.Death Knight","whosurbobby"
"Death Knight","Frost","Death's Echo","Frost.Death Knight","whosurbobby"
"Death Knight","Frost","Dead of Winter","Frost.Death Knight","whosurbobby"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","jaromex"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","jaromex"
"Rogue","Subtlety","Silhouette","Subtlety.Rogue","jaromex"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","mad"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","mad"
"Rogue","Outlaw","Dismantle","Outlaw.Rogue","mad"
