"Var1","Freq","spec","class"
"Affliction.Warlock",47,"Affliction","Warlock"
"Arcane.Mage",17,"Arcane","Mage"
"Arms.Warrior",92,"Arms","Warrior"
"Assassination.Rogue",60,"Assassination","Rogue"
"Balance.Druid",92,"Balance","Druid"
"Beast Mastery.Hunter",84,"Beast Mastery","Hunter"
"Blood.Death Knight",5,"Blood","Death Knight"
"Brewmaster.Monk",1,"Brewmaster","Monk"
"Demonology.Warlock",225,"Demonology","Warlock"
"Destruction.Warlock",55,"Destruction","Warlock"
"Discipline.Priest",216,"Discipline","Priest"
"Elemental.Shaman",103,"Elemental","Shaman"
"Enhancement.Shaman",99,"Enhancement","Shaman"
"Feral.Druid",115,"Feral","Druid"
"Fire.Mage",186,"Fire","Mage"
"Frost.Death Knight",27,"Frost","Death Knight"
"Frost.Mage",62,"Frost","Mage"
"Fury.Warrior",328,"Fury","Warrior"
"Guardian.Druid",12,"Guardian","Druid"
"Havoc.Demon Hunter",156,"Havoc","Demon Hunter"
"Holy.Paladin",204,"Holy","Paladin"
"Holy.Priest",431,"Holy","Priest"
"Marksmanship.Hunter",64,"Marksmanship","Hunter"
"Mistweaver.Monk",96,"Mistweaver","Monk"
"Outlaw.Rogue",55,"Outlaw","Rogue"
"Protection.Paladin",20,"Protection","Paladin"
"Restoration.Druid",180,"Restoration","Druid"
"Restoration.Shaman",168,"Restoration","Shaman"
"Retribution.Paladin",258,"Retribution","Paladin"
"Shadow.Priest",170,"Shadow","Priest"
"Subtlety.Rogue",179,"Subtlety","Rogue"
"Survival.Hunter",69,"Survival","Hunter"
"Unholy.Death Knight",235,"Unholy","Death Knight"
"Vengeance.Demon Hunter",2,"Vengeance","Demon Hunter"
"Windwalker.Monk",87,"Windwalker","Monk"
