"Class","Spec","Talent","Talent.Level","Spec.Class","Char.Name"
"Priest","Holy","Enlightenment",15,"Holy.Priest","celestiah"
"Priest","Holy","Angelic Feather",25,"Holy.Priest","celestiah"
"Priest","Holy","Guardian Angel",30,"Holy.Priest","celestiah"
"Priest","Holy","Psychic Voice",35,"Holy.Priest","celestiah"
"Priest","Holy","Surge of Light",40,"Holy.Priest","celestiah"
"Priest","Holy","Benediction",45,"Holy.Priest","celestiah"
"Priest","Holy","Apotheosis",50,"Holy.Priest","celestiah"
"Rogue","Subtlety","Premeditation",15,"Subtlety.Rogue","nahj"
"Rogue","Subtlety","Nightstalker",25,"Subtlety.Rogue","nahj"
"Rogue","Subtlety","Deeper Stratagem",30,"Subtlety.Rogue","nahj"
"Rogue","Subtlety","Elusiveness",35,"Subtlety.Rogue","nahj"
"Rogue","Subtlety","Prey on the Weak",40,"Subtlety.Rogue","nahj"
"Rogue","Subtlety","Enveloping Shadows",45,"Subtlety.Rogue","nahj"
"Rogue","Subtlety","Master of Shadows",50,"Subtlety.Rogue","nahj"
"Mage","Fire","Firestarter",15,"Fire.Mage","aeghis"
"Mage","Fire","Blazing Soul",25,"Fire.Mage","aeghis"
"Mage","Fire","Rune of Power",30,"Fire.Mage","aeghis"
"Mage","Fire","Flame On",35,"Fire.Mage","aeghis"
"Mage","Fire","Ring of Frost",40,"Fire.Mage","aeghis"
"Mage","Fire","Living Bomb",45,"Fire.Mage","aeghis"
"Mage","Fire","Kindling",50,"Fire.Mage","aeghis"
"Warrior","Arms","Sudden Death",15,"Arms.Warrior","clapperr"
"Warrior","Arms","Storm Bolt",25,"Arms.Warrior","clapperr"
"Warrior","Arms","Massacre",30,"Arms.Warrior","clapperr"
"Warrior","Arms","Defensive Stance",35,"Arms.Warrior","clapperr"
"Warrior","Arms","Warbreaker",40,"Arms.Warrior","clapperr"
"Warrior","Arms","Avatar",45,"Arms.Warrior","clapperr"
"Warrior","Arms","Dreadnaught",50,"Arms.Warrior","clapperr"
"Warrior","Fury","Sudden Death",15,"Fury.Warrior","reminiscent"
"Warrior","Fury","Storm Bolt",25,"Fury.Warrior","reminiscent"
"Warrior","Fury","Frenzy",30,"Fury.Warrior","reminiscent"
"Warrior","Fury","Warpaint",35,"Fury.Warrior","reminiscent"
"Warrior","Fury","Cruelty",40,"Fury.Warrior","reminiscent"
"Warrior","Fury","Bladestorm",45,"Fury.Warrior","reminiscent"
"Warrior","Fury","Reckless Abandon",50,"Fury.Warrior","reminiscent"
"Rogue","Outlaw","Weaponmaster",15,"Outlaw.Rogue","chun"
"Rogue","Outlaw","Acrobatic Strikes",25,"Outlaw.Rogue","chun"
"Rogue","Outlaw","Deeper Stratagem",30,"Outlaw.Rogue","chun"
"Rogue","Outlaw","Elusiveness",35,"Outlaw.Rogue","chun"
"Rogue","Outlaw","Blinding Powder",40,"Outlaw.Rogue","chun"
"Rogue","Outlaw","Alacrity",45,"Outlaw.Rogue","chun"
"Rogue","Outlaw","Dancing Steel",50,"Outlaw.Rogue","chun"
"Death Knight","Unholy","Clawing Shadows",15,"Unholy.Death Knight","partywaffles"
"Death Knight","Unholy","Unholy Blight",25,"Unholy.Death Knight","partywaffles"
"Death Knight","Unholy","Asphyxiate",30,"Unholy.Death Knight","partywaffles"
"Death Knight","Unholy","Pestilent Pustules",35,"Unholy.Death Knight","partywaffles"
"Death Knight","Unholy","Wraith Walk",40,"Unholy.Death Knight","partywaffles"
"Death Knight","Unholy","Unholy Pact",45,"Unholy.Death Knight","partywaffles"
"Death Knight","Unholy","Unholy Assault",50,"Unholy.Death Knight","partywaffles"
"Paladin","Retribution","Zeal",15,"Retribution.Paladin","vanguards"
"Paladin","Retribution","Blade of Wrath",25,"Retribution.Paladin","vanguards"
"Paladin","Retribution","Fist of Justice",30,"Retribution.Paladin","vanguards"
"Paladin","Retribution","Unbreakable Spirit",35,"Retribution.Paladin","vanguards"
"Paladin","Retribution","Divine Purpose",40,"Retribution.Paladin","vanguards"
"Paladin","Retribution","Healing Hands",45,"Retribution.Paladin","vanguards"
"Paladin","Retribution","Sanctified Wrath",50,"Retribution.Paladin","vanguards"
"Shaman","Restoration","Unleash Life",15,"Restoration.Shaman","legionisgood"
"Shaman","Restoration","Echo of the Elements",25,"Restoration.Shaman","legionisgood"
"Shaman","Restoration","Earthgrab Totem",30,"Restoration.Shaman","legionisgood"
"Shaman","Restoration","Earthen Wall Totem",35,"Restoration.Shaman","legionisgood"
"Shaman","Restoration","Graceful Spirit",40,"Restoration.Shaman","legionisgood"
"Shaman","Restoration","Flash Flood",45,"Restoration.Shaman","legionisgood"
"Shaman","Restoration","Ascendance",50,"Restoration.Shaman","legionisgood"
"Shaman","Enhancement","Elemental Blast",15,"Enhancement.Shaman","saul"
"Shaman","Enhancement","Stormflurry",25,"Enhancement.Shaman","saul"
"Shaman","Enhancement","Earth Shield",30,"Enhancement.Shaman","saul"
"Shaman","Enhancement","Elemental Assault",35,"Enhancement.Shaman","saul"
"Shaman","Enhancement","Nature's Guardian",40,"Enhancement.Shaman","saul"
"Shaman","Enhancement","Sundering",45,"Enhancement.Shaman","saul"
"Shaman","Enhancement","Elemental Spirits",50,"Enhancement.Shaman","saul"
"Rogue","Subtlety","Premeditation",15,"Subtlety.Rogue","jaromex"
"Rogue","Subtlety","Nightstalker",25,"Subtlety.Rogue","jaromex"
"Rogue","Subtlety","Marked for Death",30,"Subtlety.Rogue","jaromex"
"Rogue","Subtlety","Soothing Darkness",35,"Subtlety.Rogue","jaromex"
"Rogue","Subtlety","Prey on the Weak",40,"Subtlety.Rogue","jaromex"
"Rogue","Subtlety","Enveloping Shadows",45,"Subtlety.Rogue","jaromex"
"Rogue","Subtlety","Master of Shadows",50,"Subtlety.Rogue","jaromex"
"Shaman","Restoration","Unleash Life",15,"Restoration.Shaman","breadx"
"Shaman","Restoration","Echo of the Elements",25,"Restoration.Shaman","breadx"
"Shaman","Restoration","Earthgrab Totem",30,"Restoration.Shaman","breadx"
"Shaman","Restoration","Earthen Wall Totem",35,"Restoration.Shaman","breadx"
"Shaman","Restoration","Graceful Spirit",40,"Restoration.Shaman","breadx"
"Shaman","Restoration","Flash Flood",45,"Restoration.Shaman","breadx"
"Shaman","Restoration","Ascendance",50,"Restoration.Shaman","breadx"
"Paladin","Holy","Bestow Faith",15,"Holy.Paladin","lht"
"Paladin","Holy","Saved by the Light",25,"Holy.Paladin","lht"
"Paladin","Holy","Blinding Light",30,"Holy.Paladin","lht"
"Paladin","Holy","Cavalier",35,"Holy.Paladin","lht"
"Paladin","Holy","Divine Purpose",40,"Holy.Paladin","lht"
"Paladin","Holy","Awakening",45,"Holy.Paladin","lht"
"Paladin","Holy","Beacon of Faith",50,"Holy.Paladin","lht"
"Rogue","Assassination","Master Poisoner",15,"Assassination.Rogue","adelgab"
"Rogue","Assassination","Master Assassin",25,"Assassination.Rogue","adelgab"
"Rogue","Assassination","Marked for Death",30,"Assassination.Rogue","adelgab"
"Rogue","Assassination","Elusiveness",35,"Assassination.Rogue","adelgab"
"Rogue","Assassination","Internal Bleeding",40,"Assassination.Rogue","adelgab"
"Rogue","Assassination","Alacrity",45,"Assassination.Rogue","adelgab"
"Rogue","Assassination","Hidden Blades",50,"Assassination.Rogue","adelgab"
"Druid","Restoration","Cenarion Ward",15,"Restoration.Druid","rennx"
"Druid","Restoration","Wild Charge",25,"Restoration.Druid","rennx"
"Druid","Restoration","Guardian Affinity",30,"Restoration.Druid","rennx"
"Druid","Restoration","Mighty Bash",35,"Restoration.Druid","rennx"
"Druid","Restoration","Soul of the Forest",40,"Restoration.Druid","rennx"
"Druid","Restoration","Overgrowth",45,"Restoration.Druid","rennx"
"Druid","Restoration","Flourish",50,"Restoration.Druid","rennx"
"Warlock","Affliction","Inevitable Demise",15,"Affliction.Warlock","whoalock"
"Warlock","Affliction","Writhe in Agony",25,"Affliction.Warlock","whoalock"
"Warlock","Affliction","Dark Pact",30,"Affliction.Warlock","whoalock"
"Warlock","Affliction","Phantom Singularity",35,"Affliction.Warlock","whoalock"
"Warlock","Affliction","Howl of Terror",40,"Affliction.Warlock","whoalock"
"Warlock","Affliction","Grimoire of Sacrifice",45,"Affliction.Warlock","whoalock"
"Warlock","Affliction","Dark Soul: Misery",50,"Affliction.Warlock","whoalock"
"Warlock","Affliction","Inevitable Demise",15,"Affliction.Warlock","popnloc"
"Warlock","Affliction","Writhe in Agony",25,"Affliction.Warlock","popnloc"
"Warlock","Affliction","Dark Pact",30,"Affliction.Warlock","popnloc"
"Warlock","Affliction","Phantom Singularity",35,"Affliction.Warlock","popnloc"
"Warlock","Affliction","Howl of Terror",40,"Affliction.Warlock","popnloc"
"Warlock","Affliction","Grimoire of Sacrifice",45,"Affliction.Warlock","popnloc"
"Warlock","Affliction","Dark Soul: Misery",50,"Affliction.Warlock","popnloc"
"Shaman","Enhancement","Elemental Blast",15,"Enhancement.Shaman","zulubar"
"Shaman","Enhancement","Stormflurry",25,"Enhancement.Shaman","zulubar"
"Shaman","Enhancement","Earth Shield",30,"Enhancement.Shaman","zulubar"
"Shaman","Enhancement","Elemental Assault",35,"Enhancement.Shaman","zulubar"
"Shaman","Enhancement","Nature's Guardian",40,"Enhancement.Shaman","zulubar"
"Shaman","Enhancement","Sundering",45,"Enhancement.Shaman","zulubar"
"Shaman","Enhancement","Elemental Spirits",50,"Enhancement.Shaman","zulubar"
"Warrior","Arms","Sudden Death",15,"Arms.Warrior","arash"
"Warrior","Arms","Impending Victory",25,"Arms.Warrior","arash"
"Warrior","Arms","Massacre",30,"Arms.Warrior","arash"
"Warrior","Arms","Defensive Stance",35,"Arms.Warrior","arash"
"Warrior","Arms","Warbreaker",40,"Arms.Warrior","arash"
"Warrior","Arms","Avatar",45,"Arms.Warrior","arash"
"Warrior","Arms","Dreadnaught",50,"Arms.Warrior","arash"
"Paladin","Holy","Bestow Faith",15,"Holy.Paladin","bubblistwo"
"Paladin","Holy","Saved by the Light",25,"Holy.Paladin","bubblistwo"
"Paladin","Holy","Fist of Justice",30,"Holy.Paladin","bubblistwo"
"Paladin","Holy","Cavalier",35,"Holy.Paladin","bubblistwo"
"Paladin","Holy","Divine Purpose",40,"Holy.Paladin","bubblistwo"
"Paladin","Holy","Awakening",45,"Holy.Paladin","bubblistwo"
"Paladin","Holy","Beacon of Faith",50,"Holy.Paladin","bubblistwo"
"Druid","Balance","Nature's Balance",15,"Balance.Druid","oryy"
"Druid","Balance","Wild Charge",25,"Balance.Druid","oryy"
"Druid","Balance","Guardian Affinity",30,"Balance.Druid","oryy"
"Druid","Balance","Mass Entanglement",35,"Balance.Druid","oryy"
"Druid","Balance","Starlord",40,"Balance.Druid","oryy"
"Druid","Balance","Stellar Drift",45,"Balance.Druid","oryy"
"Druid","Balance","Solstice",50,"Balance.Druid","oryy"
"Druid","Balance","Nature's Balance",15,"Balance.Druid","snartx"
"Druid","Balance","Renewal",25,"Balance.Druid","snartx"
"Druid","Balance","Guardian Affinity",30,"Balance.Druid","snartx"
"Druid","Balance","Mass Entanglement",35,"Balance.Druid","snartx"
"Druid","Balance","Starlord",40,"Balance.Druid","snartx"
"Druid","Balance","Twin Moons",45,"Balance.Druid","snartx"
"Druid","Balance","Fury of Elune",50,"Balance.Druid","snartx"
"Priest","Holy","Renewed Faith",15,"Holy.Priest","arsgoetia"
"Priest","Holy","Angelic Feather",25,"Holy.Priest","arsgoetia"
"Priest","Holy","Guardian Angel",30,"Holy.Priest","arsgoetia"
"Priest","Holy","Psychic Voice",35,"Holy.Priest","arsgoetia"
"Priest","Holy","Surge of Light",40,"Holy.Priest","arsgoetia"
"Priest","Holy","Benediction",45,"Holy.Priest","arsgoetia"
"Priest","Holy","Apotheosis",50,"Holy.Priest","arsgoetia"
"Mage","Fire","Firestarter",15,"Fire.Mage","maxvila"
"Mage","Fire","Shimmer",25,"Fire.Mage","maxvila"
"Mage","Fire","Rune of Power",30,"Fire.Mage","maxvila"
"Mage","Fire","Flame On",35,"Fire.Mage","maxvila"
"Mage","Fire","Ring of Frost",40,"Fire.Mage","maxvila"
"Mage","Fire","Living Bomb",45,"Fire.Mage","maxvila"
"Mage","Fire","Kindling",50,"Fire.Mage","maxvila"
"Shaman","Restoration","Unleash Life",15,"Restoration.Shaman","dyllbar"
"Shaman","Restoration","Echo of the Elements",25,"Restoration.Shaman","dyllbar"
"Shaman","Restoration","Earthgrab Totem",30,"Restoration.Shaman","dyllbar"
"Shaman","Restoration","Earthen Wall Totem",35,"Restoration.Shaman","dyllbar"
"Shaman","Restoration","Graceful Spirit",40,"Restoration.Shaman","dyllbar"
"Shaman","Restoration","Flash Flood",45,"Restoration.Shaman","dyllbar"
"Shaman","Restoration","Ascendance",50,"Restoration.Shaman","dyllbar"
"Shaman","Restoration","Unleash Life",15,"Restoration.Shaman","biofly"
"Shaman","Restoration","Echo of the Elements",25,"Restoration.Shaman","biofly"
"Shaman","Restoration","Earthgrab Totem",30,"Restoration.Shaman","biofly"
"Shaman","Restoration","Earthen Wall Totem",35,"Restoration.Shaman","biofly"
"Shaman","Restoration","Nature's Guardian",40,"Restoration.Shaman","biofly"
"Shaman","Restoration","Flash Flood",45,"Restoration.Shaman","biofly"
"Shaman","Restoration","Ascendance",50,"Restoration.Shaman","biofly"
"Monk","Windwalker","Chi Wave",15,"Windwalker.Monk","rsk"
"Monk","Windwalker","Tiger's Lust",25,"Windwalker.Monk","rsk"
"Monk","Windwalker","Ascension",30,"Windwalker.Monk","rsk"
"Monk","Windwalker","Ring of Peace",35,"Windwalker.Monk","rsk"
"Monk","Windwalker","Diffuse Magic",40,"Windwalker.Monk","rsk"
"Monk","Windwalker","Dance of Chi-Ji",45,"Windwalker.Monk","rsk"
"Monk","Windwalker","Whirling Dragon Punch",50,"Windwalker.Monk","rsk"
"Warlock","Demonology","Dreadlash",15,"Demonology.Warlock","muchopower"
"Warlock","Demonology","Doom",25,"Demonology.Warlock","muchopower"
"Warlock","Demonology","Demon Skin",30,"Demonology.Warlock","muchopower"
