"Var1","Freq","spec","class"
"Affliction.Warlock",478,"Affliction","Warlock"
"Arcane.Mage",24,"Arcane","Mage"
"Arms.Warrior",77,"Arms","Warrior"
"Assassination.Rogue",154,"Assassination","Rogue"
"Balance.Druid",332,"Balance","Druid"
"Beast Mastery.Hunter",79,"Beast Mastery","Hunter"
"Blood.Death Knight",18,"Blood","Death Knight"
"Brewmaster.Monk",5,"Brewmaster","Monk"
"Demonology.Warlock",68,"Demonology","Warlock"
"Destruction.Warlock",74,"Destruction","Warlock"
"Discipline.Priest",511,"Discipline","Priest"
"Elemental.Shaman",155,"Elemental","Shaman"
"Enhancement.Shaman",35,"Enhancement","Shaman"
"Feral.Druid",100,"Feral","Druid"
"Fire.Mage",49,"Fire","Mage"
"Frost.Death Knight",112,"Frost","Death Knight"
"Frost.Mage",97,"Frost","Mage"
"Fury.Warrior",342,"Fury","Warrior"
"Guardian.Druid",325,"Guardian","Druid"
"Havoc.Demon Hunter",270,"Havoc","Demon Hunter"
"Holy.Paladin",224,"Holy","Paladin"
"Holy.Priest",276,"Holy","Priest"
"Marksmanship.Hunter",349,"Marksmanship","Hunter"
"Mistweaver.Monk",287,"Mistweaver","Monk"
"Outlaw.Rogue",52,"Outlaw","Rogue"
"Protection.Paladin",25,"Protection","Paladin"
"Protection.Warrior",16,"Protection","Warrior"
"Restoration.Druid",287,"Restoration","Druid"
"Restoration.Shaman",186,"Restoration","Shaman"
"Retribution.Paladin",343,"Retribution","Paladin"
"Shadow.Priest",125,"Shadow","Priest"
"Subtlety.Rogue",235,"Subtlety","Rogue"
"Survival.Hunter",50,"Survival","Hunter"
"Unholy.Death Knight",196,"Unholy","Death Knight"
"Vengeance.Demon Hunter",24,"Vengeance","Demon Hunter"
"Windwalker.Monk",89,"Windwalker","Monk"
